GCCSA,Area Name,Total
2RVIC,Alfredton,26437.00
2RVIC,Ballarat,13085.00
2RVIC,Ballarat - North,27769.00
2RVIC,Ballarat - South,30471.00
2RVIC,Buninyong,9292.00
2RVIC,Delacombe,19196.00
2RVIC,Smythes Creek,4548.00
2RVIC,Wendouree - Miners Rest,17612.00
2RVIC,Bacchus Marsh Region,7368.00
2RVIC,Creswick - Clunes,8999.00
2RVIC,Daylesford,10394.00
2RVIC,Gordon (Vic.),6628.00
2RVIC,Avoca,3444.00
2RVIC,Beaufort,4750.00
2RVIC,Golden Plains - North,5683.00
2RVIC,Maryborough (Vic.),8654.00
2RVIC,Maryborough Region,5690.00
2RVIC,Bendigo,16152.00
2RVIC,California Gully - Eaglehawk,16613.00
2RVIC,East Bendigo - Kennington,14449.00
2RVIC,Flora Hill - Spring Gully,10851.00
2RVIC,Kangaroo Flat - Golden Square,24429.00
2RVIC,Maiden Gully,9847.00
2RVIC,Strathfieldsaye,17437.00
2RVIC,White Hills - Ascot,22487.00
2RVIC,Bendigo Region - South,11130.00
2RVIC,Castlemaine,12729.00
2RVIC,Castlemaine Region,9407.00
2RVIC,Heathcote,5389.00
2RVIC,Kyneton,12335.00
2RVIC,Woodend,9214.00
2RVIC,Bendigo Region - North,4975.00
2RVIC,Loddon,6789.00
2RVIC,Bannockburn,13093.00
2RVIC,Golden Plains - South,9750.00
2RVIC,Winchelsea,6887.00
2RVIC,Belmont,16622.00
2RVIC,Corio - Norlane,34290.00
2RVIC,Geelong,16363.00
2RVIC,Geelong West - Hamlyn Heights,26989.00
2RVIC,Grovedale,60216.00
2RVIC,Highton,29060.00
2RVIC,Lara,29635.00
2RVIC,Leopold,17955.00
2RVIC,Newcomb - Moolap,17192.00
2RVIC,Newtown (Vic.),12635.00
2RVIC,North Geelong - Bell Park,19623.00
2RVIC,Clifton Springs,20971.00
2RVIC,Lorne - Anglesea,6029.00
2RVIC,Ocean Grove - Barwon Heads,45973.00
2RVIC,Portarlington,10884.00
2RVIC,Point Lonsdale - Queenscliff,5435.00
2RVIC,Torquay,32068.00
2RVIC,Alexandra,7569.00
2RVIC,Euroa,6854.00
2RVIC,Kilmore - Broadford,22206.00
2RVIC,Mansfield (Vic.),11303.00
2RVIC,Nagambie,5168.00
2RVIC,Seymour,6691.00
2RVIC,Seymour Region,4693.00
2RVIC,Upper Yarra Valley,228.00
2RVIC,Yea,4404.00
2RVIC,Benalla,10957.00
2RVIC,Benalla Region,3762.00
2RVIC,Rutherglen,4308.00
2RVIC,Wangaratta,22053.00
2RVIC,Wangaratta Region,10111.00
2RVIC,Beechworth,5676.00
2RVIC,Bright - Mount Beauty,9163.00
2RVIC,Chiltern - Indigo Valley,3259.00
2RVIC,Myrtleford,4843.00
2RVIC,Towong,6205.00
2RVIC,West Wodonga,17647.00
2RVIC,Wodonga,41254.00
2RVIC,Yackandandah,5359.00
2RVIC,Drouin,29375.00
2RVIC,Mount Baw Baw Region,6421.00
2RVIC,Trafalgar (Vic.),10482.00
2RVIC,Warragul,29700.00
2RVIC,Alps - East,0.00
2RVIC,Bairnsdale,19774.00
2RVIC,Bruthen - Omeo,8998.00
2RVIC,Lake King,0.00
2RVIC,Lakes Entrance,12338.00
2RVIC,Orbost,6165.00
2RVIC,Paynesville,8814.00
2RVIC,Foster,9674.00
2RVIC,French Island,74.00
2RVIC,Korumburra,11247.00
2RVIC,Leongatha,13284.00
2RVIC,Phillip Island,15485.00
2RVIC,Wilsons Promontory,0.00
2RVIC,Wonthaggi - Inverloch,32422.00
2RVIC,Churchill,12267.00
2RVIC,Moe - Newborough,17660.00
2RVIC,Morwell,14562.00
2RVIC,Traralgon,33650.00
2RVIC,Yallourn North - Glengarry,4888.00
2RVIC,Alps - West,0.00
