,Adjusted Postcode,Unnamed: 0,Total 2016,Total 2021,Total 2026,Total 2031,Total 2036,Total Growth,Total Growth %,number of trips,number of stops,trips per stop,suburb
0,3002,118,5475.0,6188.0,6519.0,6904.0,7300.0,1825.0,17.97026502908856,6887,28,245.96428571428572,East Melbourne
36,3052,123,7898.0,9020.0,9640.0,10615.0,11559.0,3661.0,28.148558758314856,5266,51,103.25490196078431,Parkville
38,3054,139,9058.0,9209.0,9337.0,9471.0,9718.0,660.0,5.527201650559236,4365,32,136.40625,Carlton North
41,3057,105,11716.0,14933.0,16282.0,17791.0,19327.0,7611.0,29.424763945623788,6385,54,118.24074074074075,Brunswick East
48,3065,141,11259.0,12107.0,13059.0,13980.0,14970.0,3711.0,23.64747666639134,6619,44,150.4318181818182,Fitzroy
49,3066,140,9235.0,10988.0,11993.0,13212.0,14598.0,5363.0,32.854022570076445,3509,16,219.3125,Collingwood
50,3067,138,8770.0,11197.0,12103.0,13074.0,14263.0,5493.0,27.382334553898364,6089,22,276.77272727272725,Abbotsford
51,3068,142,13129.0,14019.0,14865.0,15733.0,16675.0,3546.0,18.94571652756973,9280,89,104.26966292134831,Clifton Hill
68,"3090, 3091",215,9794.0,10051.0,10290.0,10620.0,11016.0,1222.0,9.601034722913143,3491,32,109.09375,Plenty
115,3151,166,10772.0,11722.0,13468.0,15131.0,16715.0,5943.0,42.5951202866405,6328,60,105.46666666666667,Burwood East
