,Area Name,Total Growth,Total Growth %,suburb,stop_id,GCCSA
5,Alphington - Fairfield,2612.0,0.27687089251643,,,2GMEL
9,Essendon - Aberfeldie,9043.0,0.312409313894839,,,2GMEL
15,Flemington Racecourse,3123.0,34.3186813186813,,,2GMEL
17,Melbourne,43064.0,1.07175032975785,,,2GMEL
20,South Yarra - West,1868.0,0.28947776228111,,,2GMEL
26,Port Melbourne Industrial,23476.0,939.04,,,2GMEL
31,Prahran - Windsor,6613.0,0.31083431257344296,,,2GMEL
32,South Yarra - East,12904.0,0.577360178970917,,,2GMEL
35,Carlton North - Princes Hill,660.0,0.0728637668359461,,,2GMEL
40,Yarra - North,7909.0,0.823339579429523,,,2GMEL
45,Glen Iris - East,2936.0,0.17087649866139,,,2GMEL
50,Surrey Hills (West) - Canterbury,2541.0,0.148370898049749,,,2GMEL
55,Doncaster East (North),3498.0,0.22820981210856,,,2GMEL
56,Doncaster East (South),3930.0,0.269251849821869,,,2GMEL
63,Surrey Hills (East) - Mont Albert,1562.0,0.149387911247131,,,2GMEL
67,Cheltenham - Highett (West),4505.0,0.393003576725116,,,2GMEL
69,Sandringham - Black Rock,4004.0,0.228577952845807,,,2GMEL
70,Bentleigh - McKinnon,4939.0,0.209403883659798,,,2GMEL
72,Caulfield - North,6463.0,0.289976669059584,,,2GMEL
73,Caulfield - South,2735.0,0.148697874191268,,,2GMEL
77,Ormond - Glen Huntly,3004.0,0.213701358753646,,,2GMEL
78,Bentleigh East (North),8588.0,0.554708693967188,,,2GMEL
79,Bentleigh East (South),2622.0,0.19045543691436,,,2GMEL
80,Aspendale Gardens - Waterways,457.0,0.0484777765991302,,,2GMEL
82,Carrum - Patterson Lakes,2894.0,0.23895632070019,,,2GMEL
83,Chelsea - Bonbeach,3804.0,0.256455201240477,,,2GMEL
85,Cheltenham - Highett (East),10684.0,0.455627105633503,,,2GMEL
86,Edithvale - Aspendale,2253.0,0.16843600478468898,,,2GMEL
88,Moorabbin - Heatherton,3766.0,0.407003134118664,,,2GMEL
89,Moorabbin Airport,0.0,,,,2GMEL
90,Mordialloc - Parkdale,4366.0,0.208212122657256,,,2GMEL
91,Malvern - Glen Iris,4710.0,0.222716096084736,,,2GMEL
93,Bundoora - East,1232.0,0.119704624951419,,,2GMEL
95,Heidelberg - Rosanna,6751.0,0.434651043007984,,,2GMEL
98,Ivanhoe East - Eaglemont,791.0,0.097425791353615,,,2GMEL
99,Montmorency - Briar Hill,1432.0,0.0852787041448309,,,2GMEL
100,Viewbank - Yallambie,492.0,0.0258702282048586,,,2GMEL
103,Reservoir - East,10504.0,0.369598874032372,,,2GMEL
104,Reservoir - West,5151.0,0.204032321951992,,,2GMEL
105,Preston - East,12546.0,0.592015855039638,,,2GMEL
