suburb,number of trips
Abbotsford,6089
Aberfeldie,1576
Acheron,4
Aintree,560
Airport West,4182
Albanvale,631
Albert Park,1666
Albion,1699
Alexandra,4
Alphington,1991
Altona,4236
Altona Meadows,2412
Altona North,6370
Ardeer,1386
Armadale,4323
Ascot Vale,5804
Ashburton,2060
Ashwood,2127
Aspendale,339
Aspendale Gardens,650
Attwood,168
Avondale Heights,2303
Avonsleigh,360
Badger Creek,101
Balaclava,1979
Balnarring,25
Balwyn,4734
Balwyn North,4446
Bangholme,413
Baxter,144
Bayswater,3024
Bayswater North,3856
Beaconsfield,834
Beaumaris,2703
Belgrave,1782
Belgrave Heights,392
Belgrave South,528
Bellfield ,1036
Bentleigh,4651
Bentleigh East,10014
Berwick,7653
Beveridge,47
Bittern,227
Black Rock,1934
Blackburn,7859
Blackburn North,2562
Blackburn South,4152
Blairgowrie,667
Blind Bight,48
Bonbeach,351
Boronia,7638
Botanic Ridge,564
Box Hill,10233
Box Hill North,3163
Box Hill South,4608
Braeside,555
Braybrook,3571
Briar Hill,1521
Brighton,9007
Brighton East,3759
Broadmeadows,8270
Brookfield,320
Brooklyn,1589
Brunswick,8653
Brunswick East,6385
Brunswick West,5574
Bulla,84
Bulleen,3894
Bundoora,14477
Burnley,2101
Burnside,1356
Burnside Height,74
Burnside Heights,90
Burwood,6744
Burwood East,6328
Buxton,6
Cairnlea,520
Camberwell,10934
Campbellfield,2214
Cannons Creek,36
Canterbury,1705
Capel Sound,625
Carlton,10293
Carlton North,4365
Carnegie,3640
Caroline Springs,4098
Carrum,1093
Carrum Downs,5829
Caulfield,2302
Caulfield East,2124
Caulfield North,6582
Caulfield South,2677
Chadstone,2568
Chelsea,1063
Chelsea Heights,1536
Cheltenham,6811
Chirnside Park,3189
Chum Creek,24
Clarinda,2105
Clayton,10884
Clayton South,4247
Clematis,300
Clifton Hill,3610
Clyde,1074
Clyde North,4676
Cobblebank,96
Coburg,14475
Coburg North,4580
Cockatoo,600
Coldstream,130
Collingwood,3509
Coolaroo,4106
Craigieburn,12823
Cranbourne,10268
Cranbourne East,3990
Cranbourne North,4475
Cranbourne South,624
Cranbourne West,1690
Cremorne,260
Crib Point,377
Croydon,11774
Croydon Hills,435
Croydon North,1919
Croydon South,1026
Dallas,2557
Dandenong,11618
Dandenong North,3649
Dandenong South,5312
Deer Park,3438
Delahey,911
Derrimut,725
Devon Meadows,234
Diamond Creek,2289
Diggers Rest,350
Dingley Village,1990
Docklands,6856
Doncaster,11771
Doncaster East,12292
Donnybrook,378
Donvale,3437
Doreen,6522
Doveton,2009
Dromana,895
Eaglemont,778
East,141
East Melbourne,6887
East Warburton,44
Edithvale,1506
Eildon,2
Elsternwick,4647
Eltham,5127
Eltham North,1423
Elwood,3297
Emerald,606
Endeavour Hills,4534
Epping,18789
Essendon,9859
Essendon North,683
Essendon West,671
Eumemmerring,356
Fairfield,3651
Fawkner,2681
Ferntree Gully,12686
Ferny Creek,726
Fitzroy,6619
Fitzroy North,5670
Flemington,3031
Flinders,24
Footscray,11522
Forest Hill,5044
Frankston,10872
Frankston North,1687
Frankston South,1978
Fraser Rise,200
Gardenvale,900
Gembrook,815
Gladstone Park,2009
Glen Huntly,827
Glen Iris,5517
Glen Waverley,19419
Glenroy,5740
Gowanbrae,357
Greensborough,10971
Greenvale,2371
Hadfield,2514
Hallam,3716
Hamlyn Heights,76
Hampton,2781
Hampton East,783
Hampton Park,8619
Harkness,80
Hastings,539
Hawthorn,8254
Hawthorn East,4323
Healesville,479
Heatherton,1817
Heathmont,1446
Heidelberg,3919
Heidelberg Heights,3571
Heidelberg West,4334
Highett,2570
Hillside,1050
Hillside ,834
Hoppers Crossing,7147
Hughesdale,3074
Humevale,188
Huntingdale,808
Hurstbridge,272
Ivanhoe,4205
Ivanhoe East,798
Jacana,723
Junction Village,106
Kalkallo,480
Kallista,200
Kalorama,696
Kangaroo Ground,236
Kealba,292
Keilor,1080
Keilor Downs,1445
Keilor East,4063
Keilor Lodge,44
Keilor North,24
Keilor Park,1205
Kensington,1991
Kew,10024
