,suburb,number of trips,number of stops,trips per stop,Actual Postcode,Adjusted Postcode
0,Abbotsford,6089,22,276.77272727272725,3067,3067
1,Aberfeldie,1576,18,87.55555555555556,3040,3040
2,Aintree,560,19,29.473684210526315,3336,3336
3,Airport West,4182,59,70.88135593220339,3042,3042
4,Albanvale,631,26,24.26923076923077,3021,3021
5,Albert Park,1666,20,83.3,3206,3206
6,Albion,1699,23,73.8695652173913,3020,3020
7,Alphington,1991,25,79.64,3078,3078
8,Altona,4236,74,57.24324324324324,3018,3018
9,Altona Meadows,2412,46,52.43478260869565,3028,3028
10,Altona North,6370,108,58.98148148148148,3025,3025
11,Ardeer,1386,19,72.94736842105263,3022,"3022, 3020"
12,Armadale,4323,50,86.46,3143,3143
13,Ascot Vale,5804,70,82.91428571428571,3032,3032
14,Ashburton,2060,31,66.45161290322581,3147,3147
15,Ashwood,2127,31,68.61290322580645,3147,3147
16,Aspendale,339,20,16.95,3195,3195
17,Aspendale Gardens,650,17,38.23529411764706,3195,3195
18,Attwood,168,5,33.6,3049,"3043, 3049"
19,Avondale Heights,2303,46,50.06521739130435,3034,3034
20,Avonsleigh,360,6,60.0,3782,"3782, 3781"
21,Badger Creek,101,9,11.222222222222221,3777,"3777, 3775"
22,Balaclava,1979,14,141.35714285714286,3183,3183
23,Balnarring,25,1,25.0,3926,3926
24,Balwyn,4734,70,67.62857142857143,3103,3103
25,Balwyn North,4446,89,49.95505617977528,3104,3104
26,Bangholme,413,11,37.54545454545455,3175,3175
27,Baxter,144,11,13.090909090909092,3911,3911
28,Bayswater,3024,62,48.774193548387096,3153,3153
29,Bayswater North,3856,66,58.42424242424242,3153,3153
30,Beaconsfield,834,27,30.88888888888889,3807,"3807, 3809"
31,Beaumaris,2703,69,39.17391304347826,3193,3193
32,Belgrave,1782,33,54.0,3160,"3160, 3159"
33,Belgrave Heights,392,8,49.0,3160,"3160, 3159"
34,Belgrave South,528,15,35.2,3160,"3160, 3159"
35,Bentleigh,4651,55,84.56363636363636,3204,3204
36,Bentleigh East,10014,142,70.52112676056338,3165,3165
37,Berwick,7653,210,36.44285714285714,3806,3806
38,Beveridge,47,9,5.222222222222222,3753,3753
39,Bittern,227,13,17.46153846153846,3918,3918
40,Black Rock,1934,25,77.36,3193,3193
41,Blackburn,7859,87,90.33333333333333,3130,3130
42,Blackburn North,2562,43,59.58139534883721,3130,3130
43,Blackburn South,4152,48,86.5,3130,3130
44,Blairgowrie,667,34,19.61764705882353,3942,3942
45,Blind Bight,48,11,4.363636363636363,3980,"3912, 3980"
46,Bonbeach,351,13,27.0,3196,3196
47,Boronia,7638,115,66.41739130434783,3155,3155
48,Botanic Ridge,564,13,43.38461538461539,3977,3977
49,Box Hill,10233,95,107.71578947368421,3128,3128
50,Box Hill North,3163,49,64.55102040816327,3129,3129
51,Box Hill South,4608,48,96.0,3128,3128
52,Braeside,555,34,16.323529411764707,3195,3195
53,Braybrook,3571,41,87.09756097560975,3019,3019
54,Briar Hill,1521,19,80.05263157894737,3088,3088
55,Brighton,9007,111,81.14414414414415,3186,3186
56,Brighton East,3759,70,53.7,3187,3187
57,Broadmeadows,8270,89,92.92134831460675,3047,3047
58,Brookfield,320,20,16.0,3338,3338
59,Brooklyn,1589,26,61.11538461538461,3012,3012
