suburb,trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,stop_name,stop_lat,stop_lon
Abbotsford,5739,5739,5739,5739,5739,0,5739,5739,5739,5739,5739,5739
Aberfeldie,1576,1576,1576,1576,1576,0,1576,1576,1576,1576,1576,1576
Aintree,560,560,560,560,560,0,560,560,560,560,560,560
Airport West,4182,4182,4182,4182,4182,0,4182,4182,4182,4182,4182,4182
Albanvale,631,631,631,631,631,0,631,631,631,631,631,631
Albert Park,1666,1666,1666,1666,1666,0,1666,1666,1666,1666,1666,1666
Albion,1699,1699,1699,1699,1699,0,1699,1699,1699,1699,1699,1699
Alphington,1094,1094,1094,1094,1094,0,1094,1094,1094,1094,1094,1094
Altona,4236,4236,4236,4236,4236,0,4236,4236,4236,4236,4236,4236
Altona Meadows,2412,2412,2412,2412,2412,0,2412,2412,2412,2412,2412,2412
Altona North,6370,6370,6370,6370,6370,0,6370,6370,6370,6370,6370,6370
Ardeer,1476,1476,1476,1476,1476,0,1476,1476,1476,1476,1476,1476
Armadale,4323,4323,4323,4323,4323,0,4323,4323,4323,4323,4323,4323
Ascot Vale,5769,5769,5769,5769,5769,0,5769,5769,5769,5769,5769,5769
Ashburton,1444,1444,1444,1444,1444,0,1444,1444,1444,1444,1444,1444
Ashwood,1339,1339,1339,1339,1339,0,1339,1339,1339,1339,1339,1339
Aspendale,282,282,282,282,282,0,282,282,282,282,282,282
Aspendale Gardens,650,650,650,650,650,0,650,650,650,650,650,650
Attwood,168,168,168,168,168,0,168,168,168,168,168,168
Avondale Heights,2303,2303,2303,2303,2303,0,2303,2303,2303,2303,2303,2303
Avonsleigh,180,180,180,180,180,0,180,180,180,180,180,180
Badger Creek,101,101,101,101,101,0,101,101,101,101,101,101
Balaclava,1747,1747,1747,1747,1747,0,1747,1747,1747,1747,1747,1747
Balnarring,25,25,25,25,25,0,25,25,25,25,25,25
Balwyn,4734,4734,4734,4734,4734,0,4734,4734,4734,4734,4734,4734
Balwyn North,4446,4446,4446,4446,4446,0,4446,4446,4446,4446,4446,4446
Bangholme,413,413,413,413,413,0,413,413,413,413,413,413
Baxter,106,106,106,106,106,0,106,106,106,106,106,106
Bayswater,1512,1512,1512,1512,1512,0,1512,1512,1512,1512,1512,1512
Bayswater North,1928,1928,1928,1928,1928,0,1928,1928,1928,1928,1928,1928
Beaconsfield,685,685,685,685,685,0,685,685,685,685,685,685
Beaumaris,2703,2703,2703,2703,2703,0,2703,2703,2703,2703,2703,2703
Belgrave,891,891,891,891,891,0,891,891,891,891,891,891
Belgrave Heights,196,196,196,196,196,0,196,196,196,196,196,196
Belgrave South,264,264,264,264,264,0,264,264,264,264,264,264
Bentleigh,3258,3258,3258,3258,3258,0,3258,3258,3258,3258,3258,3258
Bentleigh East,6623,6623,6623,6623,6623,0,6623,6623,6623,6623,6623,6623
Berwick,7565,7565,7565,7565,7565,0,7565,7565,7565,7565,7565,7565
Beveridge,47,47,47,47,47,0,47,47,47,47,47,47
Bittern,189,189,189,189,189,0,189,189,189,189,189,189
Black Rock,1934,1934,1934,1934,1934,0,1934,1934,1934,1934,1934,1934
Blackburn,5236,5236,5236,5236,5236,0,5236,5236,5236,5236,5236,5236
Blackburn North,2562,2562,2562,2562,2562,0,2562,2562,2562,2562,2562,2562
Blackburn South,2076,2076,2076,2076,2076,0,2076,2076,2076,2076,2076,2076
Blairgowrie,667,667,667,667,667,0,667,667,667,667,667,667
Blind Bight,24,24,24,24,24,0,24,24,24,24,24,24
Bonbeach,351,351,351,351,351,0,351,351,351,351,351,351
Boronia,3819,3819,3819,3819,3819,0,3819,3819,3819,3819,3819,3819
Botanic Ridge,282,282,282,282,282,0,282,282,282,282,282,282
Box Hill,7505,7505,7505,7505,7505,0,7505,7505,7505,7505,7505,7505
Box Hill North,3163,3163,3163,3163,3163,0,3163,3163,3163,3163,3163,3163
Box Hill South,2976,2976,2976,2976,2976,0,2976,2976,2976,2976,2976,2976
Braeside,555,555,555,555,555,0,555,555,555,555,555,555
Braybrook,3571,3571,3571,3571,3571,0,3571,3571,3571,3571,3571,3571
Briar Hill,831,831,831,831,831,0,831,831,831,831,831,831
Brighton,7359,7359,7359,7359,7359,0,7359,7359,7250,7359,7359,7359
Brighton East,3116,3116,3116,3116,3116,0,3116,3116,3116,3116,3116,3116
Broadmeadows,6411,6411,6411,6411,6411,0,6411,6411,6411,6411,6411,6411
Brookfield,320,320,320,320,320,0,320,320,320,320,320,320
Brooklyn,1589,1589,1589,1589,1589,0,1589,1589,1589,1589,1589,1589
Brunswick,7043,7043,7043,7043,7043,0,7043,7043,7043,7043,7043,7043
Brunswick East,5807,5807,5807,5807,5807,0,5807,5807,5807,5807,5807,5807
Brunswick West,4803,4803,4803,4803,4803,0,4803,4803,4803,4803,4803,4803
Bulla,84,84,84,84,84,0,84,84,84,84,84,84
Bulleen,3894,3894,3894,3894,3894,0,3894,3894,3806,3894,3894,3894
Bundoora,10479,10479,10479,10479,10479,0,10479,10479,10479,10479,10479,10479
Bunyip,82,82,82,82,82,0,82,82,82,82,82,82
Burnley,1440,1440,1440,1440,1440,0,1440,1440,1321,1440,1440,1440
Burnside,1356,1356,1356,1356,1356,0,1356,1356,1356,1356,1356,1356
Burnside Heights,90,90,90,90,90,0,90,90,90,90,90,90
Burwood,4947,4947,4947,4947,4947,0,4947,4947,4947,4947,4947,4947
Burwood East,3841,3841,3841,3841,3841,0,3841,3841,3841,3841,3841,3841
Cairnlea,520,520,520,520,520,0,520,520,520,520,520,520
Camberwell,9622,9622,9622,9622,9622,0,9622,9622,9622,9622,9622,9622
Campbellfield,1885,1885,1885,1885,1885,0,1885,1885,1885,1885,1885,1885
Cannons Creek,18,18,18,18,18,0,18,18,18,18,18,18
Canterbury,1487,1487,1487,1487,1487,0,1487,1487,1487,1487,1487,1487
Capel Sound,625,625,625,625,625,0,625,625,625,625,625,625
Carlton,10176,10176,10176,10176,10176,0,10176,10176,10176,10176,10176,10176
Carlton North,3992,3992,3992,3992,3992,0,3992,3992,3992,3992,3992,3992
Carnegie,3398,3398,3398,3398,3398,0,3398,3398,3398,3398,3398,3398
Caroline Springs,4098,4098,4098,4098,4098,0,4098,4098,4098,4098,4098,4098
Carrum,1093,1093,1093,1093,1093,0,1093,1093,1093,1093,1093,1093
Carrum Downs,5829,5829,5829,5829,5829,0,5829,5829,5829,5829,5829,5829
Caulfield,2302,2302,2302,2302,2302,0,2302,2302,2302,2302,2302,2302
Caulfield East,1942,1942,1942,1942,1942,0,1942,1942,1822,1942,1942,1942
Caulfield North,6582,6582,6582,6582,6582,0,6582,6582,6582,6582,6582,6582
Caulfield South,2677,2677,2677,2677,2677,0,2677,2677,2677,2677,2677,2677
Chadstone,2022,2022,2022,2022,2022,0,2022,2022,2022,2022,2022,2022
Chelsea,1054,1054,1054,1054,1054,0,1054,1054,1054,1054,1054,1054
Chelsea Heights,1536,1536,1536,1536,1536,0,1536,1536,1536,1536,1536,1536
Cheltenham,6499,6499,6499,6499,6499,0,6499,6499,6499,6499,6499,6499
Chirnside Park,1643,1643,1643,1643,1643,0,1643,1643,1643,1643,1643,1643
Chum Creek,24,24,24,24,24,0,24,24,24,24,24,24
Clarinda,1556,1556,1556,1556,1556,0,1556,1556,1556,1556,1556,1556
Clayton,7371,7371,7371,7371,7371,0,7371,7371,7371,7371,7371,7371
Clayton South,3218,3218,3218,3218,3218,0,3218,3218,3218,3218,3218,3218
Clematis,150,150,150,150,150,0,150,150,150,150,150,150
Clifton Hill,2755,2755,2755,2755,2755,0,2755,2755,2755,2755,2755,2755
Clyde,545,545,545,545,545,0,545,545,545,545,545,545
Clyde North,2613,2613,2613,2613,2613,0,2613,2613,2613,2613,2613,2613
Cobblebank,186,186,186,186,186,0,186,186,186,186,186,186
Coburg,12220,12220,12220,12220,12220,0,12220,12220,12220,12220,12220,12220
Coburg North,2976,2976,2976,2976,2976,0,2976,2976,2976,2976,2976,2976
Cockatoo,360,360,360,360,360,0,360,360,360,360,360,360
Coldstream,130,130,130,130,130,0,130,130,130,130,130,130
