,Area Name,Total 2016,Total 2021,Total 2026,Total 2031,Total 2036,GCCSA,Total Growth,Total Growth %
104,Brunswick,27435.0,31237.0,33919.0,36489.0,39114.0,2GMEL,11679.0,0.42569710224166213
105,Brunswick East,11716.0,14933.0,16282.0,17791.0,19327.0,2GMEL,7611.0,0.649624445203141
106,Brunswick West,14523.0,16503.0,17161.0,17950.0,18767.0,2GMEL,4244.0,0.292226124079047
107,Coburg,27802.0,30690.0,33085.0,35805.0,38578.0,2GMEL,10776.0,0.3875980145313287
108,Pascoe Vale South,10465.0,11267.0,11923.0,12572.0,13241.0,2GMEL,2776.0,0.2652651696129957
109,Alphington - Fairfield,9434.0,10091.0,10702.0,11353.0,12046.0,2GMEL,2612.0,0.27687089251642993
110,Northcote,26424.0,28701.0,30539.0,32396.0,34327.0,2GMEL,7903.0,0.299084165909779
111,Thornbury,19578.0,20764.0,21885.0,23038.0,24176.0,2GMEL,4598.0,0.23485544999489222
112,Ascot Vale,15497.0,16895.0,18400.0,19905.0,21440.0,2GMEL,5943.0,0.383493579402465
113,Essendon - Aberfeldie,28946.0,31880.0,33686.0,35810.0,37989.0,2GMEL,9043.0,0.31240931389483867
114,Flemington,10734.0,11754.0,12787.0,13856.0,14946.0,2GMEL,4212.0,0.3923979877026272
115,Moonee Ponds,15158.0,17712.0,20977.0,23272.0,25599.0,2GMEL,10441.0,0.6888111888111889
116,Carlton,20242.0,25116.0,26747.0,28487.0,30262.0,2GMEL,10020.0,0.495010374468926
117,Docklands,11832.0,18970.0,24820.0,27256.0,29157.0,2GMEL,17325.0,1.4642494929006085
118,East Melbourne,5475.0,6188.0,6519.0,6904.0,7300.0,2GMEL,1825.0,0.3333333333333333
119,Flemington Racecourse,91.0,121.0,982.0,2668.0,3214.0,2GMEL,3123.0,34.31868131868132
120,Kensington (Vic.),11530.0,12384.0,13215.0,15175.0,16674.0,2GMEL,5144.0,0.4461405030355594
121,Melbourne,40181.0,62833.0,73594.0,78632.0,83245.0,2GMEL,43064.0,1.0717503297578457
122,North Melbourne,22106.0,29306.0,33979.0,40364.0,45392.0,2GMEL,23286.0,1.0533791730751831
123,Parkville,7898.0,9020.0,9640.0,10615.0,11559.0,2GMEL,3661.0,0.46353507217016965
124,South Yarra - West,6453.0,7263.0,7541.0,7925.0,8321.0,2GMEL,1868.0,0.28947776228110955
125,Southbank,20288.0,31840.0,41516.0,44421.0,47186.0,2GMEL,26898.0,1.3258083596214512
126,West Melbourne,3.0,0.0,0.0,0.0,0.0,2GMEL,-3.0,-1.0
127,Albert Park,16490.0,18013.0,19094.0,19906.0,20797.0,2GMEL,4307.0,0.2611885991510006
128,Elwood,16382.0,16959.0,17497.0,18162.0,18905.0,2GMEL,2523.0,0.1540104993285313
129,Port Melbourne,17469.0,18141.0,18824.0,19586.0,20452.0,2GMEL,2983.0,0.17075963134695746
130,Port Melbourne Industrial,25.0,656.0,4931.0,12604.0,23501.0,2GMEL,23476.0,939.04
131,South Melbourne,12492.0,17820.0,23032.0,26661.0,29929.0,2GMEL,17437.0,1.3958533461415306
132,St Kilda,28166.0,31432.0,33210.0,34642.0,36226.0,2GMEL,8060.0,0.2861606191862529
133,St Kilda East,17613.0,18534.0,18967.0,19431.0,19976.0,2GMEL,2363.0,0.13416226650769317
134,Armadale,9619.0,10923.0,11681.0,12405.0,13173.0,2GMEL,3554.0,0.36947707661919116
135,Prahran - Windsor,21275.0,22653.0,24164.0,25908.0,27888.0,2GMEL,6613.0,0.310834312573443
136,South Yarra - East,22350.0,26537.0,29260.0,32184.0,35254.0,2GMEL,12904.0,0.5773601789709172
137,Toorak,14036.0,14325.0,14623.0,14996.0,15441.0,2GMEL,1405.0,0.10009974351667142
138,Abbotsford,8770.0,11197.0,12103.0,13074.0,14263.0,2GMEL,5493.0,0.626339794754846
139,Carlton North - Princes Hill,9058.0,9209.0,9337.0,9471.0,9718.0,2GMEL,660.0,0.07286376683594613
140,Collingwood,9235.0,10988.0,11993.0,13212.0,14598.0,2GMEL,5363.0,0.5807255008121278
141,Fitzroy,11259.0,12107.0,13059.0,13980.0,14970.0,2GMEL,3711.0,0.3296029842792433
142,Fitzroy North,13129.0,14019.0,14865.0,15733.0,16675.0,2GMEL,3546.0,0.270089115698073
143,Richmond (Vic.),32686.0,37786.0,42185.0,45884.0,49800.0,2GMEL,17114.0,0.5235880805237716
144,Yarra - North,9606.0,10511.0,13012.0,15526.0,17515.0,2GMEL,7909.0,0.8233395794295232
145,Ashburton (Vic.),8104.0,8368.0,8687.0,9014.0,9380.0,2GMEL,1276.0,0.15745310957551825
146,Balwyn,16679.0,17305.0,17792.0,18327.0,18946.0,2GMEL,2267.0,0.13591941962947418
147,Balwyn North,21440.0,22096.0,22715.0,23491.0,24247.0,2GMEL,2807.0,0.13092350746268658
148,Camberwell,22646.0,24118.0,25376.0,26721.0,28157.0,2GMEL,5511.0,0.24335423474344256
149,Glen Iris - East,17182.0,17955.0,18639.0,19326.0,20118.0,2GMEL,2936.0,0.17087649866138982
150,Hawthorn,24548.0,26535.0,28479.0,30463.0,32196.0,2GMEL,7648.0,0.31155287599804465
151,Hawthorn East,16192.0,18065.0,19492.0,20847.0,22233.0,2GMEL,6041.0,0.3730854743083004
152,Kew,26504.0,27586.0,28584.0,29726.0,30964.0,2GMEL,4460.0,0.1682764865680652
153,Kew East,6855.0,7075.0,7324.0,7609.0,7931.0,2GMEL,1076.0,0.15696571845368346
154,Surrey Hills (West) - Canterbury,17126.0,17850.0,18434.0,19023.0,19667.0,2GMEL,2541.0,0.14837089804974893
155,Bulleen,11565.0,12110.0,12726.0,13385.0,14118.0,2GMEL,2553.0,0.22075226977950713
156,Doncaster,21885.0,25778.0,28803.0,31313.0,33158.0,2GMEL,11273.0,0.5151016678090016
157,Templestowe,17682.0,17881.0,18068.0,18311.0,18607.0,2GMEL,925.0,0.052313086754891984
158,Templestowe Lower,14305.0,14843.0,15241.0,15638.0,16159.0,2GMEL,1854.0,0.12960503320517303
159,Doncaster East (North),15328.0,16607.0,17345.0,18059.0,18826.0,2GMEL,3498.0,0.2282098121085595
160,Doncaster East (South),14596.0,15629.0,16668.0,17583.0,18526.0,2GMEL,3930.0,0.269251849821869
161,Blackburn,22291.0,23789.0,24899.0,26196.0,27533.0,2GMEL,5242.0,0.23516217307433493
162,Blackburn South,11229.0,11430.0,11652.0,11980.0,12351.0,2GMEL,1122.0,0.09991985038738979
163,Box Hill,20839.0,25748.0,29766.0,33207.0,36258.0,2GMEL,15419.0,0.7399107442775565
164,Box Hill North,18466.0,19084.0,19583.0,20245.0,20938.0,2GMEL,2472.0,0.13386764865157588
165,Burwood,12900.0,15036.0,16225.0,17536.0,19035.0,2GMEL,6135.0,0.4755813953488372
166,Burwood East,10772.0,11722.0,13468.0,15131.0,16715.0,2GMEL,5943.0,0.5517081321945785
167,Surrey Hills (East) - Mont Albert,10456.0,10760.0,11120.0,11548.0,12018.0,2GMEL,1562.0,0.14938791124713083
168,Beaumaris,14250.0,14916.0,15314.0,15710.0,16130.0,2GMEL,1880.0,0.1319298245614035
169,Brighton (Vic.),24353.0,25673.0,26367.0,27096.0,27915.0,2GMEL,3562.0,0.14626534718515172
170,Brighton East,16718.0,17274.0,17713.0,18196.0,18749.0,2GMEL,2031.0,0.1214858236631176
171,Cheltenham - Highett (West),11463.0,12888.0,13997.0,14937.0,15968.0,2GMEL,4505.0,0.3930035767251156
172,Hampton,18611.0,19607.0,20563.0,21501.0,22425.0,2GMEL,3814.0,0.2049325667615926
173,Sandringham - Black Rock,17517.0,18717.0,19698.0,20598.0,21521.0,2GMEL,4004.0,0.22857795284580693
174,Bentleigh - McKinnon,23586.0,25079.0,26259.0,27370.0,28525.0,2GMEL,4939.0,0.20940388365979817
175,Carnegie,19091.0,21350.0,22840.0,24118.0,25473.0,2GMEL,6382.0,0.33429364622073227
176,Caulfield - North,22288.0,24010.0,25734.0,27346.0,28751.0,2GMEL,6463.0,0.28997666905958364
177,Caulfield - South,18393.0,19037.0,19714.0,20393.0,21128.0,2GMEL,2735.0,0.14869787419126843
178,Elsternwick,12110.0,12955.0,13705.0,14425.0,15242.0,2GMEL,3132.0,0.25862923203963667
179,Hughesdale,8038.0,8639.0,9225.0,9801.0,10392.0,2GMEL,2354.0,0.2928589201293854
180,Murrumbeena,9809.0,10290.0,10725.0,11128.0,11572.0,2GMEL,1763.0,0.17973289835865022
181,Ormond - Glen Huntly,14057.0,14893.0,15612.0,16324.0,17061.0,2GMEL,3004.0,0.21370135875364588
182,Bentleigh East (North),15482.0,16760.0,19042.0,21990.0,24070.0,2GMEL,8588.0,0.5547086939671877
183,Bentleigh East (South),13767.0,14505.0,15126.0,15745.0,16389.0,2GMEL,2622.0,0.19045543691436043
184,Aspendale Gardens - Waterways,9427.0,9486.0,9553.0,9686.0,9884.0,2GMEL,457.0,0.048477776599130155
185,Braeside,60.0,60.0,60.0,60.0,60.0,2GMEL,0.0,0.0
186,Carrum - Patterson Lakes,12111.0,12807.0,13511.0,14235.0,15005.0,2GMEL,2894.0,0.2389563207001899
187,Chelsea - Bonbeach,14833.0,15915.0,16805.0,17695.0,18637.0,2GMEL,3804.0,0.2564552012404773
188,Chelsea Heights,5538.0,5614.0,5744.0,5933.0,6155.0,2GMEL,617.0,0.11141206211628747
189,Cheltenham - Highett (East),23449.0,26436.0,29075.0,31604.0,34133.0,2GMEL,10684.0,0.4556271056335025
190,Edithvale - Aspendale,13376.0,13917.0,14465.0,15011.0,15629.0,2GMEL,2253.0,0.168436004784689
191,Mentone,13695.0,14731.0,15771.0,16784.0,17822.0,2GMEL,4127.0,0.301350857977364
192,Moorabbin - Heatherton,9253.0,10108.0,11063.0,12007.0,13019.0,2GMEL,3766.0,0.40700313411866423
193,Moorabbin Airport,0.0,0.0,0.0,0.0,0.0,2GMEL,0.0,
194,Mordialloc - Parkdale,20969.0,22175.0,23093.0,24146.0,25335.0,2GMEL,4366.0,0.20821212265725594
195,Malvern - Glen Iris,21148.0,22603.0,23619.0,24695.0,25858.0,2GMEL,4710.0,0.22271609608473614
196,Malvern East,22575.0,24421.0,26025.0,27617.0,29275.0,2GMEL,6700.0,0.2967884828349945
197,Bundoora - East,10292.0,10647.0,10934.0,11194.0,11524.0,2GMEL,1232.0,0.11970462495141858
198,Greensborough,21348.0,22004.0,22624.0,23330.0,24122.0,2GMEL,2774.0,0.12994191493348323
199,Heidelberg - Rosanna,15532.0,17258.0,18986.0,20639.0,22283.0,2GMEL,6751.0,0.4346510430079835
200,Heidelberg West,14806.0,16137.0,17273.0,18236.0,19325.0,2GMEL,4519.0,0.3052141023909226
201,Ivanhoe,11998.0,13341.0,14437.0,15454.0,16394.0,2GMEL,4396.0,0.3663943990665111
202,Ivanhoe East - Eaglemont,8119.0,8234.0,8380.0,8613.0,8910.0,2GMEL,791.0,0.09742579135361498
203,Montmorency - Briar Hill,16792.0,17219.0,17459.0,17803.0,18224.0,2GMEL,1432.0,0.08527870414483087
204,Viewbank - Yallambie,19018.0,19037.0,19071.0,19238.0,19510.0,2GMEL,492.0,0.025870228204858556
205,Watsonia,9542.0,9725.0,9916.0,10172.0,10469.0,2GMEL,927.0,0.0971494445608887
206,Kingsbury,11965.0,13109.0,14057.0,14826.0,15678.0,2GMEL,3713.0,0.31032177183451737
