,Area Name,Total Growth,Total Growth %,suburb,stop_id,GCCSA
10,Moonee Ponds,10441.0,0.6888111888111889,Moonee Ponds,6881.0,2GMEL
11,Docklands,17325.0,1.4642494929006085,Docklands,6856.0,2GMEL
13,North Melbourne,23286.0,1.0533791730751831,North Melbourne,6661.0,2GMEL
14,Southbank,26898.0,1.3258083596214512,Southbank,7029.0,2GMEL
16,South Melbourne,17437.0,1.3958533461415306,South Melbourne,7138.0,2GMEL
19,Doncaster,11273.0,0.5151016678090016,Doncaster,11771.0,2GMEL
20,Box Hill,15419.0,0.7399107442775565,Box Hill,7505.0,2GMEL
23,Whittlesea,36428.0,4.318160265528687,Whittlesea,734.0,2GMEL
24,Doreen,11173.0,0.5124994266318059,Doreen,3261.0,2GMEL
25,Mernda,14139.0,0.8234232135577427,Mernda,4510.0,2GMEL
26,Wollert,54253.0,5.715053197092595,Wollert,1404.0,2GMEL
35,Cranbourne East,91847.0,3.43301936159079,Cranbourne East,1983.0,2GMEL
36,Cranbourne North,12378.0,0.5898498927805575,Cranbourne North,2671.0,2GMEL
37,Cranbourne South,45487.0,4.989798157086441,Cranbourne South,312.0,2GMEL
38,Cranbourne West,13341.0,0.8505578578259484,Cranbourne West,917.0,2GMEL
39,Dandenong,17974.0,0.5496636085626911,Dandenong,9848.0,2GMEL
40,Clayton,13523.0,0.5712656302805001,Clayton,7371.0,2GMEL
41,Altona North,10940.0,0.7398390478122675,Altona North,6370.0,2GMEL
42,Footscray,27149.0,1.5654154413884565,Footscray,11439.0,2GMEL
43,Maribyrnong,12061.0,0.9313513513513514,Maribyrnong,6275.0,2GMEL
45,Hillside,43920.0,2.061487913635297,Hillside,1884.0,2GMEL
46,Melton South,46231.0,1.9069834591428452,Melton South,2049.0,2GMEL
47,Melton West,11010.0,0.6063777055681004,Melton West,2108.0,2GMEL
49,Tarneit,71601.0,1.9668443028238656,Tarneit,6283.0,2GMEL
50,Truganina,24600.0,0.9988630826701316,Truganina,2236.0,2GMEL
52,Wyndham Vale,41677.0,1.7172229089410795,Wyndham Vale,1801.0,2GMEL
