,Area Name,Total 2016,Total 2021,Total 2026,Total 2031,Total 2036,GCCSA,Total Growth,Total Growth %
0,Alfredton,11852.0,15513.0,19227.0,22932.0,26437.0,2RVIC,14585.0,1.2305939925750928
5,Delacombe,7195.0,9489.0,12714.0,15973.0,19196.0,2RVIC,12001.0,1.6679638637943015
24,White Hills - Ascot,11914.0,14934.0,17644.0,20184.0,22487.0,2RVIC,10573.0,0.8874433439650831
40,Grovedale,23790.0,33501.0,43120.0,52136.0,60216.0,2RVIC,36426.0,1.5311475409836066
42,Lara,18587.0,21733.0,24510.0,27074.0,29635.0,2RVIC,11048.0,0.5943939312422661
49,Ocean Grove - Barwon Heads,24177.0,30128.0,36006.0,41576.0,45973.0,2RVIC,21796.0,0.9015179716259255
52,Torquay,19131.0,22905.0,26503.0,29879.0,32068.0,2RVIC,12937.0,0.6762322931367937
73,Wodonga,24919.0,28495.0,32828.0,37107.0,41254.0,2RVIC,16335.0,0.6555238974276656
75,Drouin,16435.0,19721.0,22922.0,26223.0,29375.0,2RVIC,12940.0,0.7873440827502282
78,Warragul,19088.0,21744.0,24349.0,27100.0,29700.0,2RVIC,10612.0,0.555951383067896
115,Moonee Ponds,15158.0,17712.0,20977.0,23272.0,25599.0,2GMEL,10441.0,0.6888111888111889
117,Docklands,11832.0,18970.0,24820.0,27256.0,29157.0,2GMEL,17325.0,1.4642494929006085
121,Melbourne,40181.0,62833.0,73594.0,78632.0,83245.0,2GMEL,43064.0,1.0717503297578457
122,North Melbourne,22106.0,29306.0,33979.0,40364.0,45392.0,2GMEL,23286.0,1.0533791730751831
125,Southbank,20288.0,31840.0,41516.0,44421.0,47186.0,2GMEL,26898.0,1.3258083596214512
130,Port Melbourne Industrial,25.0,656.0,4931.0,12604.0,23501.0,2GMEL,23476.0,939.04
131,South Melbourne,12492.0,17820.0,23032.0,26661.0,29929.0,2GMEL,17437.0,1.3958533461415306
136,South Yarra - East,22350.0,26537.0,29260.0,32184.0,35254.0,2GMEL,12904.0,0.5773601789709172
143,Richmond (Vic.),32686.0,37786.0,42185.0,45884.0,49800.0,2GMEL,17114.0,0.5235880805237716
156,Doncaster,21885.0,25778.0,28803.0,31313.0,33158.0,2GMEL,11273.0,0.5151016678090016
163,Box Hill,20839.0,25748.0,29766.0,33207.0,36258.0,2GMEL,15419.0,0.7399107442775565
209,Preston - East,21192.0,24241.0,27245.0,30371.0,33738.0,2GMEL,12546.0,0.5920158550396376
224,Wallan,16747.0,22918.0,33084.0,47161.0,64025.0,2GMEL,47278.0,2.823072789156267
225,Whittlesea,8436.0,10095.0,19163.0,32193.0,44864.0,2GMEL,36428.0,4.318160265528687
226,Doreen,21801.0,29130.0,31384.0,32343.0,32974.0,2GMEL,11173.0,0.5124994266318059
230,Mernda,17171.0,25917.0,28976.0,30399.0,31310.0,2GMEL,14139.0,0.8234232135577427
233,Wollert,9493.0,21820.0,36732.0,51065.0,63746.0,2GMEL,54253.0,5.715053197092595
251,Sunbury - South,27686.0,32315.0,37447.0,42657.0,47871.0,2GMEL,20185.0,0.7290688434587879
255,Greenvale - Bulla,17123.0,21905.0,27114.0,31463.0,35127.0,2GMEL,18004.0,1.0514512643812417
262,Craigieburn - South,16999.0,22470.0,25808.0,27646.0,28747.0,2GMEL,11748.0,0.6910994764397905
