,Area Name,Total 2016,Total 2021,Total 2026,Total 2031,Total 2036,GCCSA,Total Growth,Total Growth %
40,Grovedale,23790.0,33501.0,43120.0,52136.0,60216.0,2RVIC,36426.0,1.5311475409836066
49,Ocean Grove - Barwon Heads,24177.0,30128.0,36006.0,41576.0,45973.0,2RVIC,21796.0,0.9015179716259255
121,Melbourne,40181.0,62833.0,73594.0,78632.0,83245.0,2GMEL,43064.0,1.0717503297578457
122,North Melbourne,22106.0,29306.0,33979.0,40364.0,45392.0,2GMEL,23286.0,1.0533791730751831
125,Southbank,20288.0,31840.0,41516.0,44421.0,47186.0,2GMEL,26898.0,1.3258083596214512
130,Port Melbourne Industrial,25.0,656.0,4931.0,12604.0,23501.0,2GMEL,23476.0,939.04
224,Wallan,16747.0,22918.0,33084.0,47161.0,64025.0,2GMEL,47278.0,2.823072789156267
225,Whittlesea,8436.0,10095.0,19163.0,32193.0,44864.0,2GMEL,36428.0,4.318160265528687
233,Wollert,9493.0,21820.0,36732.0,51065.0,63746.0,2GMEL,54253.0,5.715053197092595
251,Sunbury - South,27686.0,32315.0,37447.0,42657.0,47871.0,2GMEL,20185.0,0.7290688434587879
264,Mickleham - Yuroke,3580.0,18538.0,33525.0,47112.0,58334.0,2GMEL,54754.0,15.29441340782123
305,Beaconsfield - Officer,13612.0,25467.0,36250.0,43984.0,49252.0,2GMEL,35640.0,2.618277990008816
321,Cranbourne East,26754.0,60536.0,85547.0,105606.0,118601.0,2GMEL,91847.0,3.43301936159079
323,Cranbourne South,9116.0,16849.0,28663.0,41613.0,54603.0,2GMEL,45487.0,4.989798157086441
370,Footscray,17343.0,23424.0,32211.0,39266.0,44492.0,2GMEL,27149.0,1.5654154413884565
376,Hillside,21305.0,27393.0,37029.0,50913.0,65225.0,2GMEL,43920.0,2.061487913635297
378,Melton South,24243.0,34384.0,46165.0,58355.0,70474.0,2GMEL,46231.0,1.9069834591428454
380,Rockbank - Mount Cottrell,3148.0,13995.0,28235.0,45791.0,65254.0,2GMEL,62106.0,19.7287166454892
388,Tarneit,36404.0,54969.0,72885.0,90142.0,108005.0,2GMEL,71601.0,1.9668443028238656
389,Truganina,24628.0,37786.0,44678.0,47476.0,49228.0,2GMEL,24600.0,0.9988630826701316
391,Wyndham Vale,24270.0,33524.0,44369.0,55077.0,65947.0,2GMEL,41677.0,1.7172229089410795
396,Werribee - West,12283.0,19413.0,29304.0,39841.0,50393.0,2GMEL,38110.0,3.1026622160709922
