route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color
"3-109-F-mjp-1","","109","Port Melbourne - Box Hill","0","78BE20","FFFFFF"
"3-109-G-mjp-1","","109","Port Melbourne - Box Hill","0","78BE20","FFFFFF"
"3-109-H-mjp-1","","109","Port Melbourne - Box Hill","0","78BE20","FFFFFF"
"3-109-I-mjp-1","","109","Port Melbourne - Box Hill","0","78BE20","FFFFFF"
"3-109-J-mjp-1","","109","Port Melbourne - Box Hill","0","78BE20","FFFFFF"
"3-109-K-mjp-1","","109","Port Melbourne - Box Hill","0","78BE20","FFFFFF"
"3-11-F-mjp-1","","11","West Preston - Victoria Harbour Docklands","0","78BE20","FFFFFF"
"3-11-G-mjp-1","","11","West Preston - Victoria Harbour Docklands","0","78BE20","FFFFFF"
"3-11-H-mjp-1","","11","West Preston - Victoria Harbour Docklands","0","78BE20","FFFFFF"
"3-11-I-mjp-1","","11","West Preston - Victoria Harbour Docklands","0","78BE20","FFFFFF"
"3-11-J-mjp-1","","11","West Preston - Victoria Harbour Docklands","0","78BE20","FFFFFF"
"3-11-K-mjp-1","","11","West Preston - Victoria Harbour Docklands","0","78BE20","FFFFFF"
"3-12-F-mjp-1","","12","Victoria Gardens - St Kilda (Fitzroy St)","0","78BE20","FFFFFF"
"3-12-G-mjp-1","","12","Victoria Gardens - St Kilda (Fitzroy St)","0","78BE20","FFFFFF"
"3-12-H-mjp-1","","12","Victoria Gardens - St Kilda (Fitzroy St)","0","78BE20","FFFFFF"
"3-12-I-mjp-1","","12","Victoria Gardens - St Kilda (Fitzroy St)","0","78BE20","FFFFFF"
"3-12-J-mjp-1","","12","Victoria Gardens - St Kilda (Fitzroy St)","0","78BE20","FFFFFF"
"3-12-K-mjp-1","","12","Victoria Gardens - St Kilda (Fitzroy St)","0","78BE20","FFFFFF"
"3-16-F-mjp-1","","16","Melbourne University - Kew via St Kilda Beach","0","78BE20","FFFFFF"
"3-16-G-mjp-1","","16","Melbourne University - Kew via St Kilda Beach","0","78BE20","FFFFFF"
"3-16-H-mjp-1","","16","Melbourne University - Kew via St Kilda Beach","0","78BE20","FFFFFF"
"3-16-I-mjp-1","","16","Melbourne University - Kew via St Kilda Beach","0","78BE20","FFFFFF"
"3-16-J-mjp-1","","16","Melbourne University - Kew via St Kilda Beach","0","78BE20","FFFFFF"
"3-16-K-mjp-1","","16","Melbourne University - Kew via St Kilda Beach","0","78BE20","FFFFFF"
"3-19-F-mjp-1","","19","North Coburg - Flinders Street Station (City)","0","78BE20","FFFFFF"
"3-19-G-mjp-1","","19","North Coburg - Flinders Street Station (City)","0","78BE20","FFFFFF"
"3-19-H-mjp-1","","19","North Coburg - Flinders Street Station (City)","0","78BE20","FFFFFF"
"3-19-I-mjp-1","","19","North Coburg - Flinders Street Station (City)","0","78BE20","FFFFFF"
"3-19-J-mjp-1","","19","North Coburg - Flinders Street Station (City)","0","78BE20","FFFFFF"
"3-19-K-mjp-1","","19","North Coburg - Flinders Street Station (City)","0","78BE20","FFFFFF"
"3-1-F-mjp-1","","1","East Coburg - South Melbourne Beach","0","78BE20","FFFFFF"
"3-1-G-mjp-1","","1","East Coburg - South Melbourne Beach","0","78BE20","FFFFFF"
"3-1-H-mjp-1","","1","East Coburg - South Melbourne Beach","0","78BE20","FFFFFF"
"3-1-I-mjp-1","","1","East Coburg - South Melbourne Beach","0","78BE20","FFFFFF"
"3-1-J-mjp-1","","1","East Coburg - South Melbourne Beach","0","78BE20","FFFFFF"
"3-1-K-mjp-1","","1","East Coburg - South Melbourne Beach","0","78BE20","FFFFFF"
"3-30-F-mjp-1","","30","St Vincents Plaza - Central Pier Docklands","0","78BE20","FFFFFF"
"3-30-G-mjp-1","","30","St Vincents Plaza - Central Pier Docklands","0","78BE20","FFFFFF"
"3-30-H-mjp-1","","30","St Vincents Plaza - Central Pier Docklands","0","78BE20","FFFFFF"
"3-30-I-mjp-1","","30","St Vincents Plaza - Central Pier Docklands","0","78BE20","FFFFFF"
"3-30-J-mjp-1","","30","St Vincents Plaza - Central Pier Docklands","0","78BE20","FFFFFF"
"3-30-K-mjp-1","","30","St Vincents Plaza - Central Pier Docklands","0","78BE20","FFFFFF"
"3-35-E-mjp-1","","35","Anticlockwise - Anticlockwise","0","78BE20","FFFFFF"
"3-35-F-mjp-1","","35","Anticlockwise - Anticlockwise","0","78BE20","FFFFFF"
"3-35-G-mjp-1","","35","Anticlockwise - Anticlockwise","0","78BE20","FFFFFF"
"3-35-H-mjp-1","","35","Anticlockwise - Anticlockwise","0","78BE20","FFFFFF"
"3-35-I-mjp-1","","35","Anticlockwise - Anticlockwise","0","78BE20","FFFFFF"
"3-35-J-mjp-1","","35","Anticlockwise - Anticlockwise","0","78BE20","FFFFFF"
"3-3-F-mjp-1","","3/3a","East Malvern - Melbourne University","0","78BE20","FFFFFF"
"3-3-G-mjp-1","","3/3a","East Malvern - Melbourne University","0","78BE20","FFFFFF"
"3-3-H-mjp-1","","3/3a","East Malvern - Melbourne University","0","78BE20","FFFFFF"
"3-3-I-mjp-1","","3/3a","East Malvern - Melbourne University","0","78BE20","FFFFFF"
"3-3-J-mjp-1","","3/3a","East Malvern - Melbourne University","0","78BE20","FFFFFF"
"3-3-K-mjp-1","","3/3a","East Malvern - Melbourne University","0","78BE20","FFFFFF"
"3-48-F-mjp-1","","48","Victoria Harbour Docklands - North Balwyn","0","78BE20","FFFFFF"
"3-48-G-mjp-1","","48","Victoria Harbour Docklands - North Balwyn","0","78BE20","FFFFFF"
"3-48-H-mjp-1","","48","Victoria Harbour Docklands - North Balwyn","0","78BE20","FFFFFF"
"3-48-I-mjp-1","","48","Victoria Harbour Docklands - North Balwyn","0","78BE20","FFFFFF"
"3-48-J-mjp-1","","48","Victoria Harbour Docklands - North Balwyn","0","78BE20","FFFFFF"
"3-48-K-mjp-1","","48","Victoria Harbour Docklands - North Balwyn","0","78BE20","FFFFFF"
"3-57-F-mjp-1","","57","Flinders Street Station, City - West Maribyrnong","0","78BE20","FFFFFF"
"3-57-G-mjp-1","","57","Flinders Street Station, City - West Maribyrnong","0","78BE20","FFFFFF"
"3-57-H-mjp-1","","57","Flinders Street Station, City - West Maribyrnong","0","78BE20","FFFFFF"
"3-57-I-mjp-1","","57","Flinders Street Station, City - West Maribyrnong","0","78BE20","FFFFFF"
"3-57-J-mjp-1","","57","Flinders Street Station, City - West Maribyrnong","0","78BE20","FFFFFF"
"3-57-K-mjp-1","","57","Flinders Street Station, City - West Maribyrnong","0","78BE20","FFFFFF"
"3-58-F-mjp-1","","58","West Coburg - Toorak","0","78BE20","FFFFFF"
"3-58-G-mjp-1","","58","West Coburg - Toorak","0","78BE20","FFFFFF"
"3-58-H-mjp-1","","58","West Coburg - Toorak","0","78BE20","FFFFFF"
"3-58-I-mjp-1","","58","West Coburg - Toorak","0","78BE20","FFFFFF"
"3-58-J-mjp-1","","58","West Coburg - Toorak","0","78BE20","FFFFFF"
"3-58-K-mjp-1","","58","West Coburg - Toorak","0","78BE20","FFFFFF"
"3-59-F-mjp-1","","59","Airport West - Flinders Street Station (City)","0","78BE20","FFFFFF"
"3-59-G-mjp-1","","59","Airport West - Flinders Street Station (City)","0","78BE20","FFFFFF"
"3-59-H-mjp-1","","59","Airport West - Flinders Street Station (City)","0","78BE20","FFFFFF"
"3-59-I-mjp-1","","59","Airport West - Flinders Street Station (City)","0","78BE20","FFFFFF"
"3-59-J-mjp-1","","59","Airport West - Flinders Street Station (City)","0","78BE20","FFFFFF"
"3-59-K-mjp-1","","59","Airport West - Flinders Street Station (City)","0","78BE20","FFFFFF"
"3-5-F-mjp-1","","5","Melbourne University - Malvern (Burke Road)","0","78BE20","FFFFFF"
"3-5-G-mjp-1","","5","Melbourne University - Malvern (Burke Road)","0","78BE20","FFFFFF"
"3-5-H-mjp-1","","5","Melbourne University - Malvern (Burke Road)","0","78BE20","FFFFFF"
"3-5-I-mjp-1","","5","Melbourne University - Malvern (Burke Road)","0","78BE20","FFFFFF"
"3-5-J-mjp-1","","5","Melbourne University - Malvern (Burke Road)","0","78BE20","FFFFFF"
"3-5-K-mjp-1","","5","Melbourne University - Malvern (Burke Road)","0","78BE20","FFFFFF"
"3-64-F-mjp-1","","64","East Brighton - Melbourne University","0","78BE20","FFFFFF"
"3-64-G-mjp-1","","64","East Brighton - Melbourne University","0","78BE20","FFFFFF"
"3-64-H-mjp-1","","64","East Brighton - Melbourne University","0","78BE20","FFFFFF"
"3-64-I-mjp-1","","64","East Brighton - Melbourne University","0","78BE20","FFFFFF"
"3-64-J-mjp-1","","64","East Brighton - Melbourne University","0","78BE20","FFFFFF"
"3-64-K-mjp-1","","64","East Brighton - Melbourne University","0","78BE20","FFFFFF"
