service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"T2","0","0","0","0","0","1","0","20221230","20230129"
"T2_1","0","0","0","0","0","1","0","20221230","20230129"
"T2_10","0","0","0","0","0","1","0","20230103","20230108"
"T2_11","0","0","0","0","0","1","0","20230109","20230115"
"T2_12","0","0","0","0","0","1","0","20230116","20230122"
"T2_13","0","0","0","0","0","1","0","20230128","20230129"
"T2_14","0","0","0","0","0","1","0","20230103","20230129"
"T2_15","0","0","0","0","0","1","0","20221230","20221231"
"T2_16","0","0","0","0","0","1","0","20230101","20230129"
"T2_17","0","0","0","0","0","1","0","20221230","20230122"
"T2_18","0","0","0","0","0","1","0","20230123","20230129"
"T2_19","0","0","0","0","0","1","0","20230103","20230125"
"T2_2","0","0","0","0","0","1","0","20221230","20221231"
"T2_20","0","0","0","0","0","1","0","20221231","20230101"
"T2_21","0","0","0","0","0","1","0","20230107","20230125"
"T2_22","0","0","0","0","0","1","0","20230130","20230312"
"T2_23","0","0","0","0","0","1","0","20221230","20221231"
"T2_24","0","0","0","0","0","1","0","20230101","20230108"
"T2_25","0","0","0","0","0","1","0","20230109","20230129"
"T2_26","0","0","0","0","0","1","0","20230130","20230220"
"T2_3","0","0","0","0","0","1","0","20230101","20230114"
"T2_4","0","0","0","0","0","1","0","20230115","20230129"
"T2_5","0","0","0","0","0","1","0","20230130","20230402"
"T2_6","0","0","0","0","0","1","0","20221230","20221231"
"T2_7","0","0","0","0","0","1","0","20230109","20230125"
"T2_8","0","0","0","0","0","1","0","20230127","20230129"
"T2_9","0","0","0","0","0","1","0","20221230","20230101"
"T2+46200","0","0","0","0","0","1","0","20230103","20230108"
"T2+va200","0","0","0","0","0","1","0","20221230","20230129"
"T3","0","0","0","0","0","0","1","20221230","20230129"
"T3_1","0","0","0","0","0","0","1","20221230","20230129"
"T3_10","0","0","0","0","0","0","1","20221230","20230122"
"T3_11","0","0","0","0","0","0","1","20230123","20230129"
"T3_12","0","0","0","0","0","0","1","20230103","20230125"
"T3_13","0","0","0","0","0","0","1","20230107","20230125"
"T3_14","0","0","0","0","0","0","1","20230130","20230312"
"T3_15","0","0","0","0","0","0","1","20230101","20230108"
"T3_16","0","0","0","0","0","0","1","20230109","20230129"
"T3_17","0","0","0","0","0","0","1","20230130","20230220"
"T3_2","0","0","0","0","0","0","1","20230109","20230125"
"T3_3","0","0","0","0","0","0","1","20230127","20230129"
"T3_4","0","0","0","0","0","0","1","20230103","20230108"
"T3_5","0","0","0","0","0","0","1","20230109","20230115"
"T3_6","0","0","0","0","0","0","1","20230116","20230122"
"T3_7","0","0","0","0","0","0","1","20230128","20230129"
"T3_8","0","0","0","0","0","0","1","20230103","20230129"
"T3_9","0","0","0","0","0","0","1","20230101","20230129"
"T3+16200","0","0","0","0","0","0","1","20230103","20230108"
"T5","1","1","1","1","0","0","0","20221230","20230129"
"T6","0","0","0","0","1","0","0","20221230","20230129"
"TL","1","1","1","1","1","0","0","20221230","20230129"
"TL_1","0","0","0","0","1","0","0","20221230","20221231"
"TL_10","1","1","1","1","1","0","0","20230101","20230129"
"TL_11","1","1","1","1","1","0","0","20221230","20230122"
"TL_12","1","1","1","0","1","0","0","20230123","20230129"
"TL_13","1","1","1","1","1","0","0","20230103","20230125"
"TL_14","0","0","0","0","1","0","0","20221230","20221230"
"TL_15","0","1","1","1","1","0","0","20230103","20230106"
"TL_16","1","1","1","1","1","0","0","20230107","20230125"
"TL_17","0","0","0","0","1","0","0","20221230","20221231"
"TL_18","1","1","1","1","1","0","0","20230130","20230312"
"TL_19","0","0","0","0","1","0","0","20221230","20221231"
"TL_2","1","1","1","1","1","0","0","20230101","20230114"
"TL_20","0","1","1","1","1","0","0","20230101","20230108"
"TL_21","1","1","1","1","1","0","0","20230109","20230129"
"TL_22","1","1","1","1","1","0","0","20230130","20230220"
"TL_3","1","1","1","1","1","0","0","20230115","20230129"
"TL_4","1","1","1","1","1","0","0","20230130","20230402"
"TL_5","0","0","0","0","1","0","0","20230127","20230129"
"TL_6","1","1","1","1","1","0","0","20230109","20230125"
"TL_7","0","0","0","0","1","0","0","20221230","20230101"
"TL_8","1","1","1","1","1","0","0","20230103","20230129"
"TL_9","0","0","0","0","1","0","0","20221230","20221231"
"TL+0d200","1","1","1","1","0","0","0","20221230","20230129"
"TL+17200","0","0","0","0","1","0","0","20221230","20221231"
"TL+1d200","0","0","0","0","1","0","0","20221230","20230101"
"TL+26200","0","0","0","1","1","0","0","20230103","20230108"
"TL+36200","0","1","1","0","0","0","0","20230103","20230108"
"TL+37200","0","0","0","0","1","0","0","20221230","20221231"
"TL+47200","0","0","0","1","1","0","0","20230103","20230108"
"TL+4a200","0","0","0","0","1","0","0","20230130","20230312"
"TL+57200","0","1","1","0","0","0","0","20230103","20230108"
"TL+5a200","1","1","1","1","0","0","0","20230130","20230312"
"TL+65200","0","0","1","0","1","0","0","20230115","20230129"
"TL+67200","0","0","0","0","1","0","0","20230103","20230108"
"TL+6a200","0","0","0","0","1","0","0","20221230","20230101"
"TL+6d200","0","0","0","0","1","0","0","20221230","20230101"
"TL+75200","1","1","0","1","0","0","0","20230115","20230129"
"TL+77200","0","0","0","1","1","0","0","20230109","20230125"
"TL+7d200","0","0","0","0","1","0","0","20230103","20230108"
"TL+86200","0","0","0","0","1","0","0","20221230","20221231"
"TL+87200","1","1","1","0","0","0","0","20230109","20230125"
"TL+89200","0","0","1","0","1","0","0","20230130","20230402"
"TL+8d200","0","1","1","1","0","0","0","20230103","20230108"
"TL+93200","0","0","0","0","1","0","0","20221230","20221231"
"TL+95200","0","0","0","0","1","0","0","20230103","20230125"
"TL+95200_1","0","0","0","0","1","0","0","20230103","20230106"
"TL+97200","0","0","0","1","1","0","0","20230109","20230125"
"TL+99200","1","1","0","1","0","0","0","20230130","20230402"
"TL+a5200","1","1","1","1","0","0","0","20230103","20230125"
"TL+a6200","0","0","0","0","1","0","0","20221230","20221231"
