Suburb,bus,train,tram,Grand Total,trips_per_stop
Abbotsford,4473,700,916,6089,276.7727273
Aberfeldie,1576,,,1576,87.55555556
Acheron,4,,,4,2
after,228,,,228,114
Aintree,560,,,560,29.47368421
Airport West,2716,,1466,4182,70.88135593
Albanvale,631,,,631,24.26923077
Albert Park,144,,1522,1666,83.3
Albion,1699,,,1699,73.86956522
Alexandra,4,,,4,4
Alphington,1583,408,,1991,79.64
Altona,4002,234,,4236,57.24324324
Altona Meadows,2412,,,2412,52.43478261
Altona North,6370,,,6370,58.98148148
Ardeer,1386,,,1386,72.94736842
Armadale,894,468,2961,4323,86.46
Ascot Vale,2431,314,3059,5804,82.91428571
Ashburton,1548,512,,2060,66.4516129
Ashwood,2127,,,2127,68.61290323
Aspendale,114,225,,339,16.95
Aspendale Gardens,650,,,650,38.23529412
Attwood,168,,,168,33.6
Avondale Heights,2303,,,2303,50.06521739
Avonsleigh,360,,,360,60
Badger Creek,101,,,101,11.22222222
Balaclava,28,465,1486,1979,141.3571429
Balnarring,25,,,25,25
Balwyn,2684,,2050,4734,67.62857143
Balwyn North,3107,,1339,4446,49.95505618
Bangholme,413,,,413,37.54545455
Baxter,68,76,,144,13.09090909
Bayswater,2808,216,,3024,48.77419355
Bayswater North,3856,,,3856,58.42424242
Beaconsfield,536,298,,834,30.88888889
Beaumaris,2703,,,2703,39.17391304
before,74,,,74,37
Belgrave,1574,208,,1782,54
Belgrave Heights,392,,,392,49
Belgrave South,528,,,528,35.2
Bellfield ,1036,,,1036,115.1111111
Bentleigh,3755,896,,4651,84.56363636
Bentleigh East,10014,,,10014,70.52112676
Berwick,7355,298,,7653,36.44285714
Beveridge,47,,,47,5.222222222
Bittern,151,76,,227,17.46153846
Black Rock,1934,,,1934,77.36
Blackburn,6861,998,,7859,90.33333333
Blackburn North,2562,,,2562,59.58139535
Blackburn South,4152,,,4152,86.5
Blairgowrie,667,,,667,19.61764706
Blind Bight,48,,,48,4.363636364
Bonbeach,126,225,,351,27
Boronia,7422,216,,7638,66.4173913
Botanic Ridge,564,,,564,43.38461538
Box Hill,9046,500,687,10233,107.7157895
Box Hill North,3163,,,3163,64.55102041
Box Hill South,4608,,,4608,96
Braeside,555,,,555,16.32352941
Braybrook,3571,,,3571,87.09756098
Briar Hill,1521,,,1521,80.05263158
Brighton,7020,1987,,9007,81.14414414
Brighton East,2607,,1152,3759,53.7
Broadmeadows,7954,316,,8270,92.92134831
Brookfield,320,,,320,16
Brooklyn,1589,,,1589,61.11538462
Brunswick,4031,690,3932,8653,85.67326733
Brunswick East,2059,,4326,6385,118.2407407
Brunswick West,3234,,2340,5574,55.18811881
Bulla,84,,,84,14
Bulleen,3894,,,3894,72.11111111
Bundoora,11237,,3240,14477,111.3615385
Burnley,,1322,779,2101,233.4444444
Burnside,1356,,,1356,45.2
Burnside Height,74,,,74,37
Burnside Heights,90,,,90,30
Burwood,4972,,1772,6744,93.66666667
