suburb,Actual Postcode,Adjusted Postcode
Abbotsford,3067,3067
Aberfeldie,3040,3040
Aintree,3336,3336
Airport West,3042,3042
Albanvale,3021,3021
Albert Park,3206,3206
Albion,3020,3020
Alphington,3078,3078
Altona,3018,3018
Altona Meadows,3028,3028
Altona North,3025,3025
Ardeer,3022,"3022, 3020"
Armadale,3143,3143
Ascot Vale,3032,3032
Ashburton,3147,3147
Ashwood,3147,3147
Aspendale,3195,3195
Aspendale Gardens,3195,3195
Attwood,3049,"3043, 3049"
Avondale Heights,3034,3034
Avonsleigh,3782,"3782, 3781"
Badger Creek,3777,"3777, 3775"
Balaclava,3183,3183
Balnarring,3926,3926
Balwyn,3103,3103
Balwyn North,3104,3104
Bangholme,3175,3175
Baxter,3911,3911
Bayswater,3153,3153
Bayswater North,3153,3153
Beaconsfield,3807,"3807, 3809"
Beaumaris,3193,3193
Belgrave,3160,"3160, 3159"
Belgrave Heights,3160,"3160, 3159"
Belgrave South,3160,"3160, 3159"
Bentleigh,3204,3204
Bentleigh East,3165,3165
Berwick,3806,3806
Beveridge,3753,3753
Bittern,3918,3918
Black Rock,3193,3193
Blackburn,3130,3130
Blackburn North,3130,3130
Blackburn South,3130,3130
Blairgowrie,3942,3942
Blind Bight,3980,"3912, 3980"
Bonbeach,3196,3196
Boronia,3155,3155
Botanic Ridge,3977,3977
Box Hill,3128,3128
Box Hill North,3129,3129
Box Hill South,3128,3128
Braeside,3195,3195
Braybrook,3019,3019
Briar Hill,3088,3088
Brighton,3186,3186
Brighton East,3187,3187
Broadmeadows,3047,3047
Brookfield,3338,3338
Brooklyn,3012,3012
Brunswick,3056,3056
Brunswick East,3057,3057
Brunswick West,3055,3055
Bulla,3428,"3059, 3428"
Bulleen,3105,3105
Bundoora,3083,3083
Bunyip,3815,"3815, 3814"
Burnley,3121,3121
Burnside,3023,3023
Burnside Heights,3023,3023
Burwood,3125,3125
Burwood East,3151,3151
Cairnlea,3023,3023
Camberwell,3124,3124
Campbellfield,3061,"3061, 3048"
Cannons Creek,3977,3977
Canterbury,3126,"3127, 3126"
Capel Sound,3940,3940
Carlton,3053,3053
Carlton North,3054,3054
Carnegie,3163,3163
Caroline Springs,3023,3023
Carrum,3197,3197
Carrum Downs,3201,3201
Caulfield,3162,3162
Caulfield East,3145,3145
Caulfield North,3161,3161
Caulfield South,3162,3162
Chadstone,3148,"3147, 3148"
Chelsea,3196,3196
Chelsea Heights,3196,3196
Cheltenham,3192,"3192, 3190"
Chirnside Park,3116,3116
Chum Creek,3777,"3777, 3775"
Clarinda,3169,3169
Clayton,3168,3168
Clayton South,3169,3169
Clematis,3782,"3782, 3781"
Clifton Hill,3068,3068
Clyde,3978,3978
Clyde North,3978,3978
Cobblebank,3338,3338
Coburg,3058,3058
Coburg North,3058,3058
Cockatoo,3781,"3782, 3781"
Coldstream,3770,"3140, 3770"
Collingwood,3066,3066
Coolaroo,3048,3048
Craigieburn,3064,3064
Cranbourne,3977,3977
Cranbourne East,3977,3977
Cranbourne North,3977,3977
Cranbourne South,3977,3977
Cranbourne West,3977,3977
Cremorne,3121,3121
Crib Point,3919,3919
Croydon,3136,3136
Croydon Hills,3136,3136
Croydon North,3136,3136
Croydon South,3136,3136
Dallas,3047,3047
Dandenong,3175,3175
Dandenong North,3175,3175
Dandenong South,3164,3164
Deer Park,3023,3023
Delahey,3037,3037
Derrimut,3030,3030
Devon Meadows,3977,3977
Diamond Creek,3089,"3096, 3089"
Diggers Rest,3427,3427
Dingley Village,3172,3172
Docklands,3008,3008
Doncaster,3108,3108
Doncaster East,3109,3109
Donnybrook,3064,3064
Donvale,3111,"3111, 3114"
Doreen,3754,3754
Doveton,3177,3177
Dromana,3936,3936
Eaglemont,3084,3084
East Melbourne,3002,3002
East Warburton,3799,3799
Edithvale,3196,3196
Elsternwick,3185,3185
Eltham,3095,3095
Eltham North,3095,3095
Elwood,3184,3184
Emerald,3782,"3782, 3781"
Endeavour Hills,3802,3802
Epping,3076,3076
Essendon,3040,3040
Essendon North,3041,3041
Essendon West,3040,3040
Eumemmerring,3177,3177
Fairfield,3078,3078
Fawkner,3060,3060
Ferntree Gully,3156,3156
Ferny Creek,3786,3786
Fitzroy,3065,3065
Fitzroy North,3068,3068
Flemington,3031,3031
Flinders,3929,3929
Footscray,3011,3011
Forest Hill,3131,3131
Frankston,3199,3199
Frankston North,3200,3200
Frankston South,3199,3199
Fraser Rise,3335,"3335, 3024"
Gardenvale,3185,3185
Garfield,3814,"3815, 3814"
Gembrook,3783,3783
Gladstone Park,3043,3043
Glen Huntly,3163,3163
Glen Iris,3146,3146
Glen Waverley,3150,3150
Glenroy,3046,3046
Gowanbrae,3043,3043
Greensborough,3088,3088
Greenvale,3059,"3059, 3428"
Hadfield,3046,3046
Hallam,3803,3803
Hampton,3188,3188
Hampton East,3188,3188
Hampton Park,3976,"3976, 3975"
Harkness,3337,3337
Hastings,3915,"3915, 3927"
Hawthorn,3122,3122
Hawthorn East,3123,3123
Healesville,3777,"3777, 3775"
Heatherton,3202,"3189, 3202"
Heathmont,3135,3135
Heidelberg,3084,3084
Heidelberg Heights,3081,3081
Heidelberg West,3081,3081
Highett,3190,"3192, 3190"
Hillside,3037,3037
Hoppers Crossing,3029,3029
Hughesdale,3166,3166
Humevale,3757,3757
Huntingdale,3166,3166
Hurstbridge,3099,3099
Ivanhoe,3079,3079
Ivanhoe East,3079,3079
Jacana,3047,3047
Junction Village,3977,3977
Kalkallo,3064,3064
Kallista,3791,3791
Kalorama,3766,3766
Kangaroo Ground,3097,3097
Kealba,3021,3021
Keilor,3036,3036
Keilor Downs,3038,3038
Keilor East,3033,3033
Keilor Lodge,3038,3038
Keilor North,3036,3036
Keilor Park,3042,3042
Kensington,3031,3031
Kew,3101,3101
Kew East,3102,3102
Keysborough,3173,3173
Kilsyth,3137,3137
Kilsyth South,3137,3137
Kings Park,3021,3021
Kingsbury,3083,3083
Kingsville,3012,3012
Knoxfield,3180,"3180, 3179"
Koo Wee Rup,3981,3981
Kooyong,3144,"3144, 3146"
Kurunjang,3337,3337
Lalor,3075,3075
Lang Lang,3984,3984
Langwarrin,3910,3910
Langwarrin South,3911,3911
Launching Place,3139,3139
Laverton,3028,3028
Laverton North,3026,3026
Lilydale,3140,"3140, 3770"
Little River,3211,3211
Lower Plenty,3093,3093
Lynbrook,3975,3975
Lyndhurst,3975,3975
Lysterfield,3156,3156
Macleod,3085,"3084, 3085"
Maidstone,3012,3012
Malvern,3144,"3144, 3146"
Malvern East,3145,3145
Manor Lakes,3024,3024
Maribyrnong,3032,3032
Meadow Heights,3048,3048
Melbourne Airport,3045,3045
Melton,3337,3337
Melton South,3338,3338
Melton West,3337,3337
Mentone,3194,3194
Menzies Creek,3159,"3160, 3159"
Mernda,3754,3754
Merricks,3916,3916
Mickleham,3064,3064
Middle Park,3206,3206
Mill Park,3082,3082
Millgrove,3799,3799
Mitcham,3132,3132
Monbulk,3793,"3793, 3795"
Mont Albert,3127,3127
Mont Albert North,3129,3129
Montmorency,3094,"3094, 3088"
Montrose,3765,3765
Moonee Ponds,3039,3039
Moorabbin,3189,"3189, 3202"
Mooroolbark,3138,3138
Mordialloc,3195,3195
Mornington,3931,3931
Mount Dandenong,3767,"3767, 3788"
Mount Eliza,3930,3930
Mount Evelyn,3796,3796
Mount Martha,3934,3934
Mount Waverley,3149,3149
Mulgrave,3170,3170
Murrumbeena,3163,3163
Nar Nar Goon,3812,3812
Narre Warren,3805,3805
Narre Warren North,3804,3804
Narre Warren South,3805,3805
Newport,3015,3015
Niddrie,3042,3042
Noble Park,3174,3174
Noble Park North,3174,3174
North Melbourne,3051,3051
North Warrandyte,3113,"3113, 3115"
Northcote,3070,3070
Notting Hill,3168,3168
Nunawading,3131,3131
Oak Park,3046,3046
Oakleigh,3166,3166
Oakleigh East,3166,3166
Oakleigh South,3167,"3169, 3167"
Officer,3809,"3807, 3809"
Olinda,3788,"3767, 3788"
Ormond,3204,3204
Pakenham,3810,3810
Pakenham Upper,3810,3810
Park Orchards,3114,"3111, 3114"
Parkdale,3195,3195
Parkville,3052,3052
Pascoe Vale,3044,3044
Pascoe Vale South,3044,3044
Patterson Lakes,3197,3197
Pearcedale,3912,3912
Plenty,3090,"3090, 3091"
Plumpton,3037,3037
Point Cook,3030,3030
Point Leo,3916,3916
Port Melbourne,3207,3207
Portsea,3944,3944
Prahran,3181,3181
Preston,3072,3072
Ravenhall,3023,3023
Research,3095,3095
Reservoir,3073,3073
Richmond,3121,3121
Ringwood,3134,3134
Ringwood East,3135,3135
Ringwood North,3134,3134
Ripponlea,3185,3185
Rockbank,3335,"3335, 3024"
Rosanna,3084,3084
Rosebud,3939,"3939, 3938"
Rowville,3178,3178
Roxburgh Park,3064,3064
Rye,3941,3941
Safety Beach,3936,3936
Sandhurst,3977,3977
Sandringham,3191,"3191, 3193"
Sassafras,3787,3787
Scoresby,3179,"3180, 3179"
Seabrook,3028,3028
Seaford,3198,3198
Seaholme,3018,3018
Seddon,3011,3011
Selby,3159,"3160, 3159"
Seville,3139,3139
Seville East,3139,3139
Sherbrooke,3789,3789
Shoreham,3916,3916
Silvan,3795,"3793, 3795"
Skye,3977,3977
Somers,3927,"3915, 3927"
Somerton,3062,"3064, 3062"
Somerville,3912,3912
Sorrento,3943,3943
South Kingsville,3015,3015
South Melbourne,3205,3205
South Morang,3752,3752
South Yarra,3141,3141
Southbank,3006,3006
Spotswood,3015,3015
Springvale,3171,3171
Springvale South,3172,3172
St Albans,3021,3021
St Andrews Beach,3941,3941
St Kilda,3182,3182
St Kilda East,3183,3183
St Kilda West,3182,3182
Strathmore,3041,3041
Strathmore Heights,3041,3041
Strathtulloh,3338,3338
Sunbury,3429,3429
Sunshine,3020,3020
Sunshine North,3020,3020
Sunshine West,3020,3020
Surrey Hills,3127,3127
Sydenham,3037,3037
Tarneit,3029,3029
Taylors Hill,3037,3037
Taylors Lakes,3038,3038
Tecoma,3160,"3160, 3159"
Templestowe,3106,3106
Templestowe Lower,3107,3107
The Basin,3154,3154
