Area Name,Adjusted Postcode
Brunswick,3056
Brunswick East,3057
Brunswick West,3055
Coburg,3058
Pascoe Vale South,3044
Alphington - Fairfield,3078
Northcote,3070
Thornbury,3071
Ascot Vale,3032
Essendon - Aberfeldie,3040
Flemington,3031
Moonee Ponds,3039
Carlton,3053
Docklands,3008
East Melbourne,3002
Flemington Racecourse,3031
Kensington (Vic.),3031
Melbourne,3000
North Melbourne,3051
Parkville,3052
South Yarra - West,3141
Southbank,3006
West Melbourne,3003
Albert Park,3206
Elwood,3184
Port Melbourne,3207
Port Melbourne Industrial,3207
South Melbourne,3205
St Kilda,3182
St Kilda East,3183
Armadale,3143
Prahran - Windsor,3181
South Yarra - East,3141
Toorak,3142
Abbotsford,3067
Carlton North - Princes Hill,3054
Collingwood,3066
Fitzroy,3065
Fitzroy North,3068
Richmond (Vic.),3121
Yarra - North,
Ashburton (Vic.),3147
Balwyn,3103
Balwyn North,3104
Camberwell,3124
Glen Iris - East,3146
Hawthorn,3122
Hawthorn East,3123
Kew,3101
Kew East,3102
Surrey Hills (West) - Canterbury,"3127, 3126"
Bulleen,3105
Doncaster,3108
Templestowe,3106
Templestowe Lower,3107
Doncaster East (North),3109
Doncaster East (South),3109
Blackburn,3130
Blackburn South,3130
Box Hill,3128
Box Hill North,3129
Burwood,3125
Burwood East,3151
Surrey Hills (East) - Mont Albert,3127
Beaumaris,3193
Brighton (Vic.),3186
Brighton East,3187
Cheltenham - Highett (West),"3192, 3190"
Hampton,3188
Sandringham - Black Rock,"3191, 3193"
Bentleigh - McKinnon,3204
Carnegie,3163
Caulfield - North,3161
Caulfield - South,3162
Elsternwick,3185
Hughesdale,3166
Murrumbeena,3163
Ormond - Glen Huntly,"3204, 3163"
Bentleigh East (North),3165
Bentleigh East (South),3165
Aspendale Gardens - Waterways,3195
Braeside,3195
Carrum - Patterson Lakes,3197
Chelsea - Bonbeach,3196
Chelsea Heights,3196
Cheltenham - Highett (East),"3192, 3190"
Edithvale - Aspendale,"3196, 3195"
Mentone,3194
Moorabbin - Heatherton,"3189, 3202"
Moorabbin Airport,3194
Mordialloc - Parkdale,3195
Malvern - Glen Iris,"3144, 3146"
Malvern East,3145
Bundoora - East,3083
Greensborough,3088
Heidelberg - Rosanna,3084
Heidelberg West,3081
Ivanhoe,3079
Ivanhoe East - Eaglemont,"3079, 3084"
Montmorency - Briar Hill,"3094, 3088"
Viewbank - Yallambie,"3084, 3085"
Watsonia,3087
Kingsbury,3083
Reservoir - East,3073
Reservoir - West,3073
Preston - East,3072
Preston - West,3072
Eltham,3095
Hurstbridge,3099
Kinglake,3763
Panton Hill - St Andrews,"3759, 3761"
Plenty - Yarrambat,"3090, 3091"
Research - North Warrandyte,"3095, 3113"
Wattle Glen - Diamond Creek,"3096, 3089"
Bundoora - North,3083
Bundoora - West,3083
Lalor,3075
Mill Park - North,3082
Mill Park - South,3082
Thomastown,3074
Wallan,3756
Whittlesea,3757
Doreen,3754
Epping - East,3076
Epping - South,3076
Epping - West,3076
Mernda,3754
South Morang (North),3752
South Morang (South),3752
Wollert,3750
Airport West,3042
Essendon Airport,0
Keilor,3036
Keilor East,3033
Niddrie - Essendon West,"3042, 3040"
Strathmore,3041
Gisborne,3437
Macedon,3440
Riddells Creek,3431
Romsey,3434
Coburg North,3058
Fawkner,3060
Pascoe Vale,3044
Glenroy,3046
Gowanbrae,3043
Hadfield,3046
Sunbury,3429
Sunbury - South,3429
Broadmeadows,3047
Campbellfield - Coolaroo,"3061, 3048"
Gladstone Park - Westmeadows,"3043, 3049"
Greenvale - Bulla,"3059, 3428"
Meadow Heights,3048
Melbourne Airport,3045
Roxburgh Park - Somerton,"3064, 3062"
Tullamarine,3043
Craigieburn - Central,3064
Craigieburn - North,3064
Craigieburn - South,3064
Craigieburn - West,3064
Mickleham - Yuroke,"3064, 3063"
Bayswater,3153
Knoxfield - Scoresby,"3180, 3179"
Lysterfield,3156
Rowville - Central,3178
Rowville - North,3178
Rowville - South,3178
Wantirna,3152
Wantirna South,3152
Boronia,3155
Ferntree Gully (North),3156
Ferntree Gully (South) - Upper Ferntree Gully,3156
The Basin,3154
Donvale - Park Orchards,"3111, 3114"
Warrandyte - Wonga Park,"3113, 3115"
Bayswater North,3153
Croydon Hills - Warranwood,"3136, 3134"
Ringwood,3134
Ringwood East,3135
Ringwood North,3134
Croydon - East,3136
Croydon - West,3136
Croydon South,3136
Forest Hill,3131
Mitcham (Vic.),3132
Nunawading,3131
Vermont,3133
Vermont South,3133
Belgrave - Selby,"3160, 3159"
Chirnside Park,3116
Healesville - Yarra Glen,"3777, 3775"
Kilsyth,3137
Lilydale - Coldstream,"3140, 3770"
Monbulk - Silvan,"3793, 3795"
Montrose,3765
Mooroolbark,3138
Mount Dandenong - Olinda,"3767, 3788"
Mount Evelyn,3796
Upwey - Tecoma,"3158, 3160"
Wandin - Seville,3139
Yarra Valley,0
Beaconsfield - Officer,"3807, 3809"
Bunyip - Garfield,"3815, 3814"
