Row Labels,2016,2021,2026,2031,2036
Abbotsford,8770,11197,12103,13074,14263
Airport West,7903,8716,9480,10257,11000
Albert Park,16490,18013,19094,19906,20797
Alphington,9434,10091,10702,11353,12046
Altona,13206,14245,15099,15926,16739
Altona Meadows,20106,20593,21088,21573,22063
Altona North,14787,16317,19616,22949,25727
Ardeer,4101,4407,4727,5079,5475
Albion,4101,4407,4727,5079,5475
Armadale,9619,10923,11681,12405,13173
Ascot Vale,15497,16895,18400,19905,21440
Ashburton,8104,8368,8687,9014,9380
Ashwood,9654,10559,11416,12283,13164
Chadstone,9654,10559,11416,12283,13164
Aspendale Gardens,9427,9486,9553,9686,9884
Balwyn,16679,17305,17792,18327,18946
Balwyn North,21440,22096,22715,23491,24247
Bayswater,12584,13501,14547,15712,16999
Bayswater North,12257,12703,13181,13704,14298
Beaconsfield,13612,25467,36250,43984,49252
Beaumaris,14250,14916,15314,15710,16130
Belgrave,5227,5217,5224,5240,5265
Selby,5227,5217,5224,5240,5265
Bentleigh,11793,12540,13130,13685,14263
McKinnon,11793,12540,13130,13685,14263
Bentleigh East,29249,31265,34168,37735,40459
Berwick,50698,54874,58691,62600,66339
Blackburn,22291,23789,24899,26196,27533
Blackburn South,11229,11430,11652,11980,12351
Boronia,22918,24174,25580,27123,28906
Box Hill,20839,25748,29766,33207,36258
Box Hill North,18466,19084,19583,20245,20938
Braeside,60,60,60,60,60
Braybrook,19224,21233,23543,25942,28665
Brighton,24353,25673,26367,27096,27915
Brighton East,16718,17274,17713,18196,18749
Broadmeadows,13916,15280,16847,18714,21013
Brunswick,27435,31237,33919,36489,39114
Brunswick East,11716,14933,16282,17791,19327
Brunswick West,14523,16503,17161,17950,18767
Bulleen,11565,12110,12726,13385,14118
Bundoora,24707,26724,28485,30275,32252
Bunyip,8928,9811,11745,15096,18851
Garfield,4464,4906,5873,7548,9426
Burnside,4943,5422,6109,6339,6487
Burnside Heights,6431,6842,7241,7550,7665
Burwood,12900,15036,16225,17536,19035
Burwood East,10772,11722,13468,15131,16715
Cairnlea,10206,11084,11592,11920,12216
Camberwell,22646,24118,25376,26721,28157
Campbellfield,17122,17407,17822,18337,19138
Carlton,20242,25116,26747,28487,30262
Carlton North,9058,9209,9337,9471,9718
Carnegie,19091,21350,22840,24118,25473
Caroline Springs,20968,21924,22442,22721,22997
Carrum,6056,6404,6756,7118,7503
Patterson Lakes,6056,6404,6756,7118,7503
Carrum Downs,21549,22951,24262,25610,26996
Caulfield North,22288,24010,25734,27346,28751
Caulfield South,18393,19037,19714,20393,21128
Chelsea,14833,15915,16805,17695,18637
Chelsea Heights,5538,5614,5744,5933,6155
Cheltenham,34912,39324,43072,46541,50101
Chirnside Park,10266,11944,13032,14088,15022
Clarinda,12323,12445,12601,12828,13125
Clayton,23672,28152,31229,34030,37195
Clayton South,13296,14335,16445,19340,20790
Coburg,27802,30690,33085,35805,38578
Coburg North,8112,9472,10680,11950,13337
Collingwood,9235,10988,11993,13212,14598
Craigieburn,52754,67986,76319,80399,83491
Cranbourne,20888,21912,23126,24585,26262
Cranbourne East,26754,60536,85547,105606,118601
Cranbourne North,20985,25956,29473,31901,33363
Cranbourne South,9116,16849,28663,41613,54603
Cranbourne West,15685,21371,25296,27530,29026
Croydon,29529,31993,34379,36891,39569
Croydon Hills,18752,19046,19403,19842,20361
Croydon South,4856,4935,5042,5183,5361
Dandenong,32700,36325,40750,45551,50674
Dandenong North,23684,24230,24732,25331,25999
Deer Park,13768,14506,14854,15127,15374
Derrimut,13768,14506,14854,15127,15374
Delahey,8841,8903,8997,9155,9378
Dingley Village,10611,10840,11051,11270,11492
Docklands,11832,18970,24820,27256,29157
Doncaster,21885,25778,28803,31313,33158
Doncaster East,29924,32236,34013,35642,37352
Donvale,8358,8472,8604,8763,8949
Park Orchards,8358,8472,8604,8763,8949
Doreen,21801,29130,31384,32343,32974
Doveton,11867,12751,13613,14635,15913
Dromana,11454,12899,13947,15014,16128
East Melbourne,5475,6188,6519,6904,7300
Edithvale,6688,6959,7233,7506,7815
Aspendale,6688,6959,7233,7506,7815
Elsternwick,12110,12955,13705,14425,15242
Eltham,24008,24354,24743,25197,25717
Elwood,16382,16959,17497,18162,18905
Emerald,9290,9545,9809,10085,10392
Cockatoo,9290,9545,9809,10085,10392
Endeavour Hills,26659,26536,26605,26818,27148
Epping,33912,36343,39086,42332,44036
Essendon,28946,31880,33686,35810,37989
Essendon West,7250,7966,8584,9263,10006
Fawkner,14460,15544,16582,17596,18685
Ferntree Gully,29567,29567,29567,29567,29567
Fitzroy,11259,12107,13059,13980,14970
Fitzroy North,13129,14019,14865,15733,16675
Flemington,10734,11754,12787,13856,14946
Flemington Bridge,91,121,982,2668,3214
Flinders,5642,5693,5797,5937,6110
Footscray,17343,23424,32211,39266,44492
Forest Hill,11074,11624,12205,12829,13473
Frankston,23510,25053,26456,27949,29613
Frankston North,19939,20203,20680,21389,22268
Frankston South,18995,19561,20090,20702,21423
Gisborne,13312,15097,16783,18489,20272
Gladstone Park,18353,18971,19551,20160,20916
Glen Iris,17182,17955,18639,19326,20118
Glen Waverley,42304,44659,46929,49305,51806
Glenroy,23153,25544,27739,29874,32250
Gowanbrae,3042,3278,3540,3831,4153
Greensborough,21348,22004,22624,23330,24122
Greenvale,8562,10953,13557,15732,17564
Hadfield,5911,6633,7206,7788,8407
Hallam,11335,12000,12681,13526,14511
Hampton,18611,19607,20563,21501,22425
Hampton Park,13390,13908,14162,14435,14771
Lynbrook,13390,13908,14162,14435,14771
Hastings,11426,12248,13050,13908,14894
Somers,11426,12248,13050,13908,14894
Hawthorn,24548,26535,28479,30463,32196
Hawthorn East,16192,18065,19492,20847,22233
Heidelberg,15532,17258,18986,20639,22283
Heidelberg West,14806,16137,17273,18236,19325
Hillside,21305,27393,37029,50913,65225
Hoppers Crossing,40392,41214,41823,42568,43497
Hughesdale,8038,8639,9225,9801,10392
Hurstbridge,3605,3615,3677,3770,3869
Ivanhoe,11998,13341,14437,15454,16394
Ivanhoe East,8119,8234,8380,8613,8910
Keilor,8993,9353,9669,9975,10321
Keilor Downs,13943,13933,14035,14210,14457
Keilor East,27399,29174,30911,32644,34525
Kensington,11530,12384,13215,15175,16674
Kew,26504,27586,28584,29726,30964
