,Area Type,Area Name,Total_2016,Total_2036,Population Difference,Population Growth
0,2RVIC,Alfredton,11852,26437.0,14585.0,123.05939925750928
1,2RVIC,Ballarat,12301,13085.0,784.0,6.373465571904722
2,2RVIC,Ballarat - North,23539,27769.0,4230.0,17.97017715281023
3,2RVIC,Ballarat - South,24654,30471.0,5817.0,23.594548551959114
4,2RVIC,Buninyong,7311,9292.0,1981.0,27.0961564765422
5,2RVIC,Delacombe,7195,19196.0,12001.0,166.79638637943015
6,2RVIC,Smythes Creek,3990,4548.0,558.0,13.984962406015036
7,2RVIC,Wendouree - Miners Rest,14826,17612.0,2786.0,18.791312559017943
8,2RVIC,Bacchus Marsh Region,5982,7368.0,1386.0,23.169508525576727
9,2RVIC,Creswick - Clunes,7870,8999.0,1129.0,14.345616264294792
10,2RVIC,Daylesford,9117,10394.0,1277.0,14.006800482614896
11,2RVIC,Gordon (Vic.),5761,6628.0,867.0,15.049470578024648
12,2RVIC,Avoca,3323,3444.0,121.0,3.641287992777611
13,2RVIC,Beaufort,4454,4750.0,296.0,6.645711719802424
14,2RVIC,Golden Plains - North,4540,5683.0,1143.0,25.176211453744497
15,2RVIC,Maryborough (Vic.),8001,8654.0,653.0,8.161479815023123
16,2RVIC,Maryborough Region,5278,5690.0,412.0,7.805987116331944
17,2RVIC,Bendigo,14770,16152.0,1382.0,9.35680433310765
18,2RVIC,California Gully - Eaglehawk,12130,16613.0,4483.0,36.95795548227535
19,2RVIC,East Bendigo - Kennington,13750,14449.0,699.0,5.083636363636364
20,2RVIC,Flora Hill - Spring Gully,9493,10851.0,1358.0,14.305277572948489
21,2RVIC,Kangaroo Flat - Golden Square,19947,24429.0,4482.0,22.469544292374792
22,2RVIC,Maiden Gully,5155,9847.0,4692.0,91.01842870999029
23,2RVIC,Strathfieldsaye,8775,17437.0,8662.0,98.71225071225072
24,2RVIC,White Hills - Ascot,11914,22487.0,10573.0,88.74433439650831
25,2RVIC,Bendigo Region - South,7346,11130.0,3784.0,51.51102640893003
26,2RVIC,Castlemaine,10770,12729.0,1959.0,18.18941504178273
27,2RVIC,Castlemaine Region,8621,9407.0,786.0,9.117271778215983
28,2RVIC,Heathcote,4529,5389.0,860.0,18.988739236034444
29,2RVIC,Kyneton,9782,12335.0,2553.0,26.09895726845226
30,2RVIC,Woodend,7043,9214.0,2171.0,30.824932557148944
31,2RVIC,Bendigo Region - North,4413,4975.0,562.0,12.735100838431906
32,2RVIC,Loddon,7098,6789.0,-309.0,-4.353338968723584
33,2RVIC,Bannockburn,6549,13093.0,6544.0,99.92365246602535
34,2RVIC,Golden Plains - South,6937,9750.0,2813.0,40.550670318581524
35,2RVIC,Winchelsea,5824,6887.0,1063.0,18.252060439560438
36,2RVIC,Belmont,14312,16622.0,2310.0,16.140301844605926
37,2RVIC,Corio - Norlane,27029,34290.0,7261.0,26.863738947056863
