,Area Name,Total 2016,Total 2021,Total 2026,Total 2031,Total 2036,Total Growth,Total Growth %
0,Abbotsford,8770,11197,12103,13074,14263,5493,0.626339794754846
1,Airport West,7903,8716,9480,10257,11000,3097,0.3918765025939517
2,Albert Park,16490,18013,19094,19906,20797,4307,0.2611885991510006
3,Alphington,9434,10091,10702,11353,12046,2612,0.27687089251642993
4,Altona,13206,14245,15099,15926,16739,3533,0.26752991064667575
5,Altona Meadows,20106,20593,21088,21573,22063,1957,0.09733412911568685
6,Altona North,14787,16317,19616,22949,25727,10940,0.7398390478122675
7,Ardeer,4101,4407,4727,5079,5475,1374,0.33504023408924655
8,Albion,4101,4407,4727,5079,5475,1374,0.33504023408924655
9,Armadale,9619,10923,11681,12405,13173,3554,0.36947707661919116
10,Ascot Vale,15497,16895,18400,19905,21440,5943,0.383493579402465
11,Ashburton,8104,8368,8687,9014,9380,1276,0.15745310957551825
12,Ashwood,9654,10559,11416,12283,13164,3510,0.36357986326911124
13,Chadstone,9654,10559,11416,12283,13164,3510,0.36357986326911124
14,Aspendale Gardens,9427,9486,9553,9686,9884,457,0.048477776599130155
15,Balwyn,16679,17305,17792,18327,18946,2267,0.13591941962947418
16,Balwyn North,21440,22096,22715,23491,24247,2807,0.13092350746268658
17,Bayswater,12584,13501,14547,15712,16999,4415,0.35084233947870314
18,Bayswater North,12257,12703,13181,13704,14298,2041,0.16651709227380274
19,Beaconsfield,13612,25467,36250,43984,49252,35640,2.618277990008816
20,Beaumaris,14250,14916,15314,15710,16130,1880,0.1319298245614035
21,Belgrave,5227,5217,5224,5240,5265,38,0.007269944518844462
22,Selby,5227,5217,5224,5240,5265,38,0.007269944518844462
23,Bentleigh,11793,12540,13130,13685,14263,2470,0.20944628169252946
24,McKinnon,11793,12540,13130,13685,14263,2470,0.20944628169252946
25,Bentleigh East,29249,31265,34168,37735,40459,11210,0.38326096618687816
26,Berwick,50698,54874,58691,62600,66339,15641,0.3085131563375281
27,Blackburn,22291,23789,24899,26196,27533,5242,0.23516217307433493
28,Blackburn South,11229,11430,11652,11980,12351,1122,0.09991985038738979
29,Boronia,22918,24174,25580,27123,28906,5988,0.2612793437472729
30,Box Hill,20839,25748,29766,33207,36258,15419,0.7399107442775565
31,Box Hill North,18466,19084,19583,20245,20938,2472,0.13386764865157588
33,Braybrook,19224,21233,23543,25942,28665,9441,0.4911048689138577
34,Brighton,24353,25673,26367,27096,27915,3562,0.14626534718515172
35,Brighton East,16718,17274,17713,18196,18749,2031,0.1214858236631176
36,Broadmeadows,13916,15280,16847,18714,21013,7097,0.5099885024432308
37,Brunswick,27435,31237,33919,36489,39114,11679,0.42569710224166213
38,Brunswick East,11716,14933,16282,17791,19327,7611,0.649624445203141
39,Brunswick West,14523,16503,17161,17950,18767,4244,0.292226124079047
40,Bulleen,11565,12110,12726,13385,14118,2553,0.22075226977950713
41,Bundoora,24707,26724,28485,30275,32252,7545,0.30537904237665436
42,Bunyip,8928,9811,11745,15096,18851,9923,1.1114471326164874
43,Garfield,4464,4906,5873,7548,9426,4962,1.1115591397849462
44,Burnside,4943,5422,6109,6339,6487,1544,0.3123609144244386
